ensembl_gene_id	btaurus_homolog_ensembl_gene	ggallus_homolog_ensembl_gene	ggorilla_homolog_ensembl_gene	hsapiens_homolog_ensembl_gene	mdomestica_homolog_ensembl_gene	mmulatta_homolog_ensembl_gene	oanatinus_homolog_ensembl_gene	pabelii_homolog_ensembl_gene	ppaniscus_homolog_ensembl_gene	ptroglodytes_homolog_ensembl_gene	rnorvegicus_homolog_ensembl_gene
ENSMUSG00000000134	ENSBTAG00000008523		ENSGGOG00000014023	ENSG00000068323	ENSMODG00000009925	ENSMMUG00000023494	ENSOANG00000013574	ENSPPYG00000029376	ENSPPAG00000028832	ENSPTRG00000021879	ENSRNOG00000009605
ENSMUSG00000000142	ENSBTAG00000030162	ENSGALG00000039200	ENSGGOG00000003974	ENSG00000168646	ENSMODG00000004260	ENSMMUG00000016595	ENSOANG00000008063	ENSPPYG00000008554	ENSPPAG00000034130	ENSPTRG00000009554	ENSRNOG00000055010
ENSMUSG00000000148	ENSBTAG00000014502		ENSGGOG00000008928	ENSG00000106009	ENSMODG00000000176	ENSMMUG00000004087	ENSOANG00000004324	ENSPPYG00000017318	ENSPPAG00000040486		ENSRNOG00000001236
ENSMUSG00000000149	ENSBTAG00000017871	ENSGALG00000004368	ENSGGOG00000009488	ENSG00000146535	ENSMODG00000000192	ENSMMUG00000006460	ENSOANG00000004326	ENSPPYG00000017322	ENSPPAG00000020471	ENSPTRG00000018870	ENSRNOG00000001235
ENSMUSG00000000154	ENSBTAG00000012742	ENSGALG00000006454	ENSGGOG00000008253	ENSG00000110628	ENSMODG00000029435	ENSMMUG00000007751	ENSOANG00000032218	ENSPPYG00000002936	ENSPPAG00000031256	ENSPTRG00000003184	ENSRNOG00000020562
ENSMUSG00000000167	ENSBTAG00000005156	ENSGALG00000007885	ENSGGOG00000027588	ENSG00000150773	ENSMODG00000014401	ENSMMUG00000019419	ENSOANG00000021548	ENSPPYG00000003873	ENSPPAG00000043313	ENSPTRG00000004280	ENSRNOG00000009965
ENSMUSG00000000168		ENSGALG00000007904	ENSGGOG00000002519	ENSG00000150768	ENSMODG00000014415		ENSOANG00000010422	ENSPPYG00000003872	ENSPPAG00000043791	ENSPTRG00000004279	ENSRNOG00000009994
ENSMUSG00000000171	ENSBTAG00000016266	ENSGALG00000007878			ENSMODG00000014388			ENSPPYG00000003876			ENSRNOG00000022980
ENSMUSG00000000182	ENSBTAG00000030343	ENSGALG00000027791	ENSGGOG00000002967	ENSG00000118972	ENSMODG00000018302			ENSPPYG00000005162	ENSPPAG00000034005	ENSPTRG00000004551	ENSRNOG00000052205
ENSMUSG00000000183	ENSBTAG00000006800	ENSGALG00000017287	ENSGGOG00000007592	ENSG00000111241	ENSMODG00000018301		ENSOANG00000020755	ENSPPYG00000004166	ENSPPAG00000040628	ENSPTRG00000046747	ENSRNOG00000053662
ENSMUSG00000000184	ENSBTAG00000016649	ENSGALG00000017283	ENSGGOG00000009479		ENSMODG00000018312	ENSMMUG00000008546	ENSOANG00000014696	ENSPPYG00000004164	ENSPPAG00000036525	ENSPTRG00000004549	ENSRNOG00000057710
ENSMUSG00000000194	ENSBTAG00000004204	ENSGALG00000004052	ENSGGOG00000001256	ENSG00000148358	ENSMODG00000007041	ENSMMUG00000004200	ENSOANG00000002555	ENSPPYG00000019688	ENSPPAG00000031540	ENSPTRG00000021469	ENSRNOG00000023589
ENSMUSG00000000197	ENSBTAG00000037786	ENSGALG00000016868	ENSGGOG00000007476	ENSG00000102452	ENSMODG00000007346	ENSMMUG00000015856	ENSOANG00000011307	ENSPPYG00000005476	ENSPPAG00000035645	ENSPTRG00000006005	ENSRNOG00000004752
ENSMUSG00000000202	ENSBTAG00000030166	ENSGALG00000023359	ENSGGOG00000017055	ENSG00000204347	ENSMODG00000006809		ENSOANG00000003285	ENSPPYG00000008596	ENSPPAG00000042921	ENSPTRG00000030786	ENSRNOG00000003109
ENSMUSG00000000214	ENSBTAG00000026768	ENSGALG00000029648	ENSGGOG00000003978	ENSG00000180176		ENSMMUG00000003912		ENSPPYG00000002924	ENSPPAG00000037007	ENSPTRG00000003173	ENSRNOG00000020410
ENSMUSG00000000215											ENSRNOG00000020405
ENSMUSG00000000216	ENSBTAG00000010163	ENSGALG00000006270	ENSGGOG00000007380	ENSG00000166828	ENSMODG00000006857	ENSMMUG00000005699	ENSOANG00000014302	ENSPPYG00000007186	ENSPPAG00000026947	ENSPTRG00000007883	ENSRNOG00000017842
ENSMUSG00000000223	ENSBTAG00000001975	ENSGALG00000005031	ENSGGOG00000004271	ENSG00000102385	ENSMODG00000011719	ENSMMUG00000021579	ENSOANG00000004217	ENSPPYG00000020549	ENSPPAG00000007600	ENSPTRG00000022100	ENSRNOG00000026704
ENSMUSG00000000244	ENSBTAG00000002702		ENSGGOG00000004838	ENSG00000064201		ENSMMUG00000001324	ENSOANG00000021778	ENSPPYG00000002928	ENSPPAG00000040841	ENSPTRG00000044879	ENSRNOG00000026039
ENSMUSG00000000247	ENSBTAG00000010990	ENSGALG00000001124	ENSGGOG00000008475	ENSG00000106689	ENSMODG00000019739	ENSMMUG00000003671	ENSOANG00000003099	ENSPPYG00000019593	ENSPPAG00000034417	ENSPTRG00000021351	ENSRNOG00000010551
ENSMUSG00000000253	ENSBTAG00000015743	ENSGALG00000012705	ENSGGOG00000004162	ENSG00000137198	ENSMODG00000010820	ENSMMUG00000002936	ENSOANG00000007188	ENSPPYG00000016253	ENSPPAG00000013338	ENSPTRG00000017746	ENSRNOG00000017250
ENSMUSG00000000263	ENSBTAG00000014395	ENSGALG00000004134	ENSGGOG00000014389	ENSG00000145888	ENSMODG00000008959	ENSMMUG00000014704	ENSOANG00000005109	ENSPPYG00000015969	ENSPPAG00000042329	ENSPTRG00000017439	ENSRNOG00000013588
ENSMUSG00000000266	ENSBTAG00000021968	ENSGALG00000003860	ENSGGOG00000013544	ENSG00000080561	ENSMODG00000011644	ENSMMUG00000005632	ENSOANG00000014706	ENSPPYG00000020615	ENSPPAG00000041459		ENSRNOG00000060542
ENSMUSG00000000275	ENSBTAG00000009948	ENSGALG00000003144	ENSGGOG00000011793	ENSG00000121060	ENSMODG00000014814	ENSMMUG00000005790		ENSPPYG00000008249	ENSPPAG00000032434	ENSPTRG00000009432	ENSRNOG00000002341
ENSMUSG00000000276	ENSBTAG00000004449	ENSGALG00000003131	ENSGGOG00000011783	ENSG00000153933	ENSMODG00000014818	ENSMMUG00000005789	ENSOANG00000010294	ENSPPYG00000008250	ENSPPAG00000037805	ENSPTRG00000009431	ENSRNOG00000002338
ENSMUSG00000000278	ENSBTAG00000007893	ENSGALG00000003185	ENSGGOG00000002974	ENSG00000121064		ENSMMUG00000002269	ENSOANG00000010295	ENSPPYG00000008247	ENSPPAG00000042779	ENSPTRG00000009434	ENSRNOG00000002358
ENSMUSG00000000282	ENSBTAG00000025129	ENSGALG00000005830	ENSGGOG00000002455	ENSG00000070444	ENSMODG00000010713	ENSMMUG00000022004	ENSOANG00000008631		ENSPPAG00000042342	ENSPTRG00000008549	ENSRNOG00000002894
ENSMUSG00000000290											ENSRNOG00000001224
ENSMUSG00000000295	ENSBTAG00000003340	ENSGALG00000014841	ENSGGOG00000006074	ENSG00000111906	ENSMODG00000017712	ENSMMUG00000015317	ENSOANG00000020120	ENSPPYG00000016986	ENSPPAG00000033871	ENSPTRG00000018573	ENSRNOG00000021442
ENSMUSG00000000296	ENSBTAG00000003336	ENSGALG00000014843	ENSGGOG00000004847	ENSG00000111907	ENSMODG00000017714	ENSMMUG00000003135	ENSOANG00000012559	ENSPPYG00000016985	ENSPPAG00000027933	ENSPTRG00000018572	ENSRNOG00000021478
ENSMUSG00000000301	ENSBTAG00000016432	ENSGALG00000004875	ENSGGOG00000006888	ENSG00000133027	ENSMODG00000004778	ENSMMUG00000006495	ENSOANG00000001259	ENSPPYG00000008033	ENSPPAG00000002104	ENSPTRG00000008832	ENSRNOG00000054423
ENSMUSG00000000303	ENSBTAG00000015991	ENSGALG00000000608	ENSGGOG00000006029	ENSG00000039068	ENSMODG00000003256	ENSMMUG00000011850	ENSOANG00000002356		ENSPPAG00000030865	ENSPTRG00000008270	ENSRNOG00000020151
ENSMUSG00000000305	ENSBTAG00000015058	ENSGALG00000005102	ENSGGOG00000000182	ENSG00000179242	ENSMODG00000016675	ENSMMUG00000012314	ENSOANG00000003373	ENSPPYG00000011193	ENSPPAG00000031709	ENSPTRG00000013693	ENSRNOG00000052405
ENSMUSG00000000308	ENSBTAG00000007502	ENSGALG00000008352			ENSMODG00000017776	ENSMMUG00000007870	ENSOANG00000012720		ENSPPAG00000000575		ENSRNOG00000014573
ENSMUSG00000000317	ENSBTAG00000020854		ENSGGOG00000009787	ENSG00000161940	ENSMODG00000006161	ENSMMUG00000016268	ENSOANG00000006441	ENSPPYG00000007891	ENSPPAG00000033435	ENSPTRG00000008656	ENSRNOG00000059956
ENSMUSG00000000320	ENSBTAG00000021933		ENSGGOG00000009757	ENSG00000108839		ENSMMUG00000016264	ENSOANG00000031734	ENSPPYG00000007882	ENSPPAG00000029029	ENSPTRG00000008653	ENSRNOG00000027037
ENSMUSG00000000325	ENSBTAG00000001473	ENSGALG00000043373	ENSGGOG00000006706	ENSG00000099889	ENSMODG00000029074	ENSMMUG00000017153	ENSOANG00000031991	ENSPPYG00000011589	ENSPPAG00000027324	ENSPTRG00000014071	ENSRNOG00000001888
ENSMUSG00000000326		ENSGALG00000002024	ENSGGOG00000006699	ENSG00000093010	ENSMODG00000019644	ENSMMUG00000047154	ENSOANG00000014591	ENSPPYG00000011588	ENSPPAG00000027543	ENSPTRG00000014070	ENSRNOG00000001889
ENSMUSG00000000339	ENSBTAG00000006321			ENSG00000137996	ENSMODG00000003557	ENSMMUG00000019105	ENSOANG00000012055		ENSPPAG00000035119	ENSPTRG00000001004	ENSRNOG00000014575
ENSMUSG00000000340	ENSBTAG00000006320	ENSGALG00000005280	ENSGGOG00000013617	ENSG00000137992	ENSMODG00000003588	ENSMMUG00000007706		ENSPPYG00000001116	ENSPPAG00000028899	ENSPTRG00000001003	ENSRNOG00000015029
ENSMUSG00000000346	ENSBTAG00000004349			ENSG00000183283				ENSPPYG00000004524			ENSRNOG00000004628
ENSMUSG00000000355	ENSBTAG00000034992		ENSGGOG00000009420			ENSMMUG00000009043		ENSPPYG00000020687	ENSPPAG00000040584		ENSRNOG00000002563
ENSMUSG00000000359	ENSBTAG00000014176	ENSGALG00000045602	ENSGGOG00000000990	ENSG00000088320	ENSMODG00000019500			ENSPPYG00000010886	ENSPPAG00000030426		ENSRNOG00000007567
ENSMUSG00000000365	ENSBTAG00000000278	ENSGALG00000045414	ENSGGOG00000014491	ENSG00000132972	ENSMODG00000007827	ENSMMUG00000014610		ENSPPYG00000005215	ENSPPAG00000028779	ENSPTRG00000005713	ENSRNOG00000008059
ENSMUSG00000000374	ENSBTAG00000007100	ENSGALG00000022804	ENSGGOG00000010716		ENSMODG00000021039	ENSMMUG00000005269	ENSOANG00000006475	ENSPPYG00000011477	ENSPPAG00000030751	ENSPTRG00000013968	ENSRNOG00000023210
ENSMUSG00000000378	ENSBTAG00000008090	ENSGALG00000005612	ENSGGOG00000000829	ENSG00000136280	ENSMODG00000010607	ENSMMUG00000001799	ENSOANG00000015753	ENSPPYG00000017581	ENSPPAG00000033771		ENSRNOG00000060825
ENSMUSG00000000381	ENSBTAG00000046334										ENSRNOG00000055684
ENSMUSG00000000384	ENSBTAG00000010504	ENSGALG00000038102	ENSGGOG00000016517	ENSG00000136270	ENSMODG00000010568	ENSMMUG00000010823	ENSOANG00000015366		ENSPPAG00000043164	ENSPTRG00000019159	ENSRNOG00000052477
ENSMUSG00000000385	ENSBTAG00000009132	ENSGALG00000016144	ENSGGOG00000004836	ENSG00000184012	ENSMODG00000020961	ENSMMUG00000015332	ENSOANG00000006438	ENSPPYG00000011438	ENSPPAG00000018889	ENSPTRG00000013928	ENSRNOG00000001976
ENSMUSG00000000386											ENSRNOG00000001959
ENSMUSG00000000392	ENSBTAG00000008140	ENSGALG00000011099	ENSGGOG00000015091	ENSG00000078098	ENSMODG00000005588	ENSMMUG00000003200	ENSOANG00000006191	ENSPPYG00000012886	ENSPPAG00000026636	ENSPTRG00000012581	ENSRNOG00000005679
ENSMUSG00000000394	ENSBTAG00000000730	ENSGALG00000011104	ENSGGOG00000001777	ENSG00000115263	ENSMODG00000005566		ENSOANG00000006189	ENSPPYG00000012885	ENSPPAG00000018408	ENSPTRG00000012580	ENSRNOG00000005498
ENSMUSG00000000399	ENSBTAG00000005465	ENSGALG00000017282		ENSG00000139180			ENSOANG00000015719	ENSPPYG00000004171			ENSRNOG00000061684
ENSMUSG00000000402	ENSBTAG00000017927	ENSGALG00000016584	ENSGGOG00000012812	ENSG00000198759	ENSMODG00000017323	ENSMMUG00000022615	ENSOANG00000002610	ENSPPYG00000020130	ENSPPAG00000029730	ENSPTRG00000023831	ENSRNOG00000004275
ENSMUSG00000000409	ENSBTAG00000012695	ENSGALG00000000466	ENSGGOG00000002562	ENSG00000182866	ENSMODG00000017464	ENSMMUG00000040694	ENSOANG00000001195	ENSPPYG00000001596	ENSPPAG00000031166	ENSPTRG00000000479	ENSRNOG00000009705
ENSMUSG00000000411	ENSBTAG00000020652		ENSGGOG00000013118	ENSG00000162526	ENSMODG00000017432			ENSPPYG00000001593	ENSPPAG00000034471	ENSPTRG00000000483	ENSRNOG00000008693
ENSMUSG00000000416	ENSBTAG00000021469	ENSGALG00000009134	ENSGGOG00000014941	ENSG00000077063	ENSMODG00000015754	ENSMMUG00000010297	ENSOANG00000021090	ENSPPYG00000017941	ENSPPAG00000032264	ENSPTRG00000019620	ENSRNOG00000061845
ENSMUSG00000000420	ENSBTAG00000011206	ENSGALG00000013135	ENSGGOG00000006840	ENSG00000141429	ENSMODG00000000501	ENSMMUG00000000457	ENSOANG00000001744	ENSPPYG00000009109	ENSPPAG00000023478	ENSPTRG00000009972	ENSRNOG00000016207
ENSMUSG00000000435	ENSBTAG00000026972	ENSGALG00000028091	ENSGGOG00000004366	ENSG00000111049	ENSMODG00000020478	ENSMMUG00000011669	ENSOANG00000004853	ENSPPYG00000004800	ENSPPAG00000028699	ENSPTRG00000005261	ENSRNOG00000004768
ENSMUSG00000000439	ENSBTAG00000004512	ENSGALG00000004991	ENSGGOG00000000429	ENSG00000075975	ENSMODG00000006280	ENSMMUG00000009536	ENSOANG00000014946	ENSPPYG00000013387	ENSPPAG00000036523	ENSPTRG00000014634	ENSRNOG00000009176
ENSMUSG00000000440	ENSBTAG00000001333	ENSGALG00000004974	ENSGGOG00000013117	ENSG00000132170	ENSMODG00000006233	ENSMMUG00000007191	ENSOANG00000022445	ENSPPYG00000013648	ENSPPAG00000029006	ENSPTRG00000014632	ENSRNOG00000008839
ENSMUSG00000000441		ENSGALG00000004998	ENSGGOG00000023025	ENSG00000132155	ENSMODG00000006307	ENSMMUG00000007450	ENSOANG00000005684	ENSPPYG00000013388	ENSPPAG00000035239	ENSPTRG00000014635	ENSRNOG00000010153
ENSMUSG00000000486	ENSBTAG00000021219		ENSGGOG00000017024	ENSG00000180096	ENSMODG00000001499	ENSMMUG00000021842	ENSOANG00000005331	ENSPPYG00000007270	ENSPPAG00000032680	ENSPTRG00000007998	ENSRNOG00000017804
ENSMUSG00000000489	ENSBTAG00000021697	ENSGALG00000012178	ENSGGOG00000015535	ENSG00000100311	ENSMODG00000009558	ENSMMUG00000002739	ENSOANG00000006889	ENSPPYG00000011836	ENSPPAG00000029810	ENSPTRG00000014392	ENSRNOG00000017197
ENSMUSG00000000530	ENSBTAG00000013843		ENSGGOG00000006661	ENSG00000139567	ENSMODG00000014248	ENSMMUG00000004982	ENSOANG00000003970	ENSPPYG00000004534	ENSPPAG00000035573	ENSPTRG00000004963	ENSRNOG00000028713
ENSMUSG00000000531	ENSBTAG00000021658		ENSGGOG00000006413	ENSG00000161835	ENSMODG00000014254	ENSMMUG00000006199		ENSPPYG00000004536	ENSPPAG00000036142	ENSPTRG00000004965	ENSRNOG00000007346
ENSMUSG00000000532	ENSBTAG00000013555	ENSGALG00000029599	ENSGGOG00000006405	ENSG00000135503		ENSMMUG00000006200	ENSOANG00000011923	ENSPPYG00000004535	ENSPPAG00000036987	ENSPTRG00000004964	ENSRNOG00000006934
ENSMUSG00000000538	ENSBTAG00000003983	ENSGALG00000004902	ENSGGOG00000000487	ENSG00000175662	ENSMODG00000014061	ENSMMUG00000003349	ENSOANG00000014807	ENSPPYG00000008039	ENSPPAG00000025001	ENSPTRG00000008838	ENSRNOG00000003590
ENSMUSG00000000544	ENSBTAG00000009148	ENSGALG00000044138	ENSGGOG00000004520	ENSG00000143167	ENSMODG00000002491		ENSOANG00000031339	ENSPPYG00000000554	ENSPPAG00000039182	ENSPTRG00000001630	ENSRNOG00000003740
ENSMUSG00000000552	ENSBTAG00000015604	ENSGALG00000046448	ENSGGOG00000002658	ENSG00000161642		ENSMMUG00000016669		ENSPPYG00000004603	ENSPPAG00000035416	ENSPTRG00000005039	ENSRNOG00000036833
ENSMUSG00000000555	ENSBTAG00000013745	ENSGALG00000042807	ENSGGOG00000000722	ENSG00000161638		ENSMMUG00000003755	ENSOANG00000008006	ENSPPYG00000004604	ENSPPAG00000041089	ENSPTRG00000005040	ENSRNOG00000057451
ENSMUSG00000000560	ENSBTAG00000011817	ENSGALG00000014206	ENSGGOG00000006837	ENSG00000151834	ENSMODG00000020598	ENSMMUG00000003614	ENSOANG00000010534	ENSPPYG00000014705	ENSPPAG00000028343	ENSPTRG00000016026	ENSRNOG00000002349
ENSMUSG00000000561	ENSBTAG00000014102	ENSGALG00000040864	ENSGGOG00000005208	ENSG00000116455	ENSMODG00000001364	ENSMMUG00000003311	ENSOANG00000002018	ENSPPYG00000001033	ENSPPAG00000038773	ENSPTRG00000001098	
ENSMUSG00000000562	ENSBTAG00000007642	ENSGALG00000001462		ENSG00000282608	ENSMODG00000001331		ENSOANG00000004236				
ENSMUSG00000000563	ENSBTAG00000006441	ENSGALG00000001452	ENSGGOG00000005215	ENSG00000116459	ENSMODG00000001351		ENSOANG00000002019	ENSPPYG00000001032		ENSPTRG00000001099	
ENSMUSG00000000567	ENSBTAG00000045824	ENSGALG00000004386	ENSGGOG00000001756	ENSG00000125398	ENSMODG00000006526	ENSMMUG00000002412	ENSOANG00000005850	ENSPPYG00000008583		ENSPTRG00000009592	ENSRNOG00000002607
ENSMUSG00000000568	ENSBTAG00000013952	ENSGALG00000011184	ENSGGOG00000026760	ENSG00000138668	ENSMODG00000011898	ENSMMUG00000039018	ENSOANG00000001932		ENSPPAG00000035750	ENSPTRG00000016215	ENSRNOG00000002292
ENSMUSG00000000581	ENSBTAG00000004567	ENSGALG00000008765		ENSG00000197223	ENSMODG00000003561		ENSOANG00000008385			ENSPTRG00000023558	ENSRNOG00000005982
ENSMUSG00000000594	ENSBTAG00000021829	ENSGALG00000027534	ENSGGOG00000015302	ENSG00000196743	ENSMODG00000009252	ENSMMUG00000022869	ENSOANG00000005117	ENSPPYG00000015962	ENSPPAG00000037388	ENSPTRG00000017431	ENSRNOG00000052219
ENSMUSG00000000600	ENSBTAG00000002750		ENSGGOG00000001906		ENSMODG00000010670	ENSMMUG00000014907	ENSOANG00000009505	ENSPPYG00000017822	ENSPPAG00000027231		ENSRNOG00000007937
ENSMUSG00000000605	ENSBTAG00000011121	ENSGALG00000016607	ENSGGOG00000010955	ENSG00000073464	ENSMODG00000017425	ENSMMUG00000013635	ENSOANG00000002630	ENSPPYG00000020118	ENSPPAG00000004966	ENSPTRG00000021655	ENSRNOG00000003533
ENSMUSG00000000617	ENSBTAG00000016187		ENSGGOG00000011993	ENSG00000113262	ENSMODG00000010422	ENSMMUG00000017587	ENSOANG00000014586	ENSPPYG00000016116	ENSPPAG00000036885	ENSPTRG00000017612	ENSRNOG00000000233
ENSMUSG00000000627	ENSBTAG00000006989		ENSGGOG00000013107	ENSG00000135622	ENSMODG00000004678	ENSMMUG00000005149	ENSOANG00000031898	ENSPPYG00000012262	ENSPPAG00000043887	ENSPTRG00000012103	ENSRNOG00000006784
ENSMUSG00000000628	ENSBTAG00000013108	ENSGALG00000034855		ENSG00000159399	ENSMODG00000011328	ENSMMUG00000011845	ENSOANG00000006971	ENSPPYG00000012260			ENSRNOG00000006116
ENSMUSG00000000631	ENSBTAG00000017380	ENSGALG00000003741	ENSGGOG00000012380	ENSG00000196535	ENSMODG00000019323	ENSMMUG00000009938	ENSOANG00000011452	ENSPPYG00000008119	ENSPPAG00000031681	ENSPTRG00000023928	ENSRNOG00000033101
ENSMUSG00000000632	ENSBTAG00000015979	ENSGALG00000026431	ENSGGOG00000012350	ENSG00000063015	ENSMODG00000019317	ENSMMUG00000021557		ENSPPYG00000008117	ENSPPAG00000015343	ENSPTRG00000008942	ENSRNOG00000009350
ENSMUSG00000000673	ENSBTAG00000004674	ENSGALG00000009926	ENSGGOG00000040480	ENSG00000162882	ENSMODG00000000392			ENSPPYG00000012459	ENSPPAG00000000403	ENSPTRG00000046058	ENSRNOG00000031263
ENSMUSG00000000682	ENSBTAG00000005628		ENSGGOG00000007697	ENSG00000169442		ENSMMUG00000010240		ENSPPYG00000001687	ENSPPAG00000037302	ENSPTRG00000000381	ENSRNOG00000015403
ENSMUSG00000000686	ENSBTAG00000025167		ENSGGOG00000012447	ENSG00000168792	ENSMODG00000019332	ENSMMUG00000019670		ENSPPYG00000008123	ENSPPAG00000042269	ENSPTRG00000008950	ENSRNOG00000015002
ENSMUSG00000000690		ENSGALG00000037619	ENSGGOG00000002634	ENSG00000108511	ENSMODG00000012334			ENSPPYG00000008899	ENSPPAG00000032229	ENSPTRG00000009356	ENSRNOG00000007823
ENSMUSG00000000693	ENSBTAG00000018578	ENSGALG00000036142	ENSGGOG00000006334	ENSG00000115318	ENSMODG00000004785	ENSMMUG00000002138		ENSPPYG00000012265	ENSPPAG00000019493	ENSPTRG00000012099	ENSRNOG00000061373
ENSMUSG00000000706	ENSBTAG00000031753		ENSGGOG00000012465	ENSG00000124557		ENSMMUG00000023008		ENSPPYG00000016333	ENSPPAG00000037786	ENSPTRG00000017834	ENSRNOG00000017514
ENSMUSG00000000708	ENSBTAG00000000746	ENSGALG00000011278	ENSGGOG00000016696	ENSG00000114166	ENSMODG00000014806	ENSMMUG00000020342	ENSOANG00000004987	ENSPPYG00000014072	ENSPPAG00000040413	ENSPTRG00000014685	ENSRNOG00000011871
ENSMUSG00000000711	ENSBTAG00000014129	ENSGALG00000042482	ENSGGOG00000008325	ENSG00000111540		ENSMMUG00000031853		ENSPPYG00000004639	ENSPPAG00000035431	ENSPTRG00000005071	ENSRNOG00000006130
ENSMUSG00000000724	ENSBTAG00000005352	ENSGALG00000004035	ENSGGOG00000002292	ENSG00000108255	ENSMODG00000019325	ENSMMUG00000012855	ENSOANG00000012646	ENSPPYG00000008120	ENSPPAG00000006625	ENSPTRG00000008946	ENSRNOG00000008700
ENSMUSG00000000730	ENSBTAG00000014882		ENSGGOG00000012431		ENSMODG00000021084	ENSMMUG00000010648			ENSPPAG00000041935	ENSPTRG00000013973	ENSRNOG00000001212
