ensembl_gene_id	btaurus_homolog_ensembl_gene	ggallus_homolog_ensembl_gene	ggorilla_homolog_ensembl_gene	hsapiens_homolog_ensembl_gene	mdomestica_homolog_ensembl_gene	mmulatta_homolog_ensembl_gene	oanatinus_homolog_ensembl_gene	pabelii_homolog_ensembl_gene	ppaniscus_homolog_ensembl_gene	ptroglodytes_homolog_ensembl_gene	rnorvegicus_homolog_ensembl_gene
ENSMUSG00000000197	ENSBTAG00000037786	ENSGALG00000016868	ENSGGOG00000007476	ENSG00000102452	ENSMODG00000007346	ENSMMUG00000015856	ENSOANG00000011307	ENSPPYG00000005476	ENSPPAG00000035645	ENSPTRG00000006005	ENSRNOG00000004752
ENSMUSG00000000216	ENSBTAG00000010163	ENSGALG00000006270	ENSGGOG00000007380	ENSG00000166828	ENSMODG00000006857	ENSMMUG00000005699	ENSOANG00000014302	ENSPPYG00000007186	ENSPPAG00000026947	ENSPTRG00000007883	ENSRNOG00000017842
ENSMUSG00000000223	ENSBTAG00000001975	ENSGALG00000005031	ENSGGOG00000004271	ENSG00000102385	ENSMODG00000011719	ENSMMUG00000021579	ENSOANG00000004217	ENSPPYG00000020549	ENSPPAG00000007600	ENSPTRG00000022100	ENSRNOG00000026704
ENSMUSG00000000247	ENSBTAG00000010990	ENSGALG00000001124	ENSGGOG00000008475	ENSG00000106689	ENSMODG00000019739	ENSMMUG00000003671	ENSOANG00000003099	ENSPPYG00000019593	ENSPPAG00000034417	ENSPTRG00000021351	ENSRNOG00000010551
ENSMUSG00000000253	ENSBTAG00000015743	ENSGALG00000012705	ENSGGOG00000004162	ENSG00000137198	ENSMODG00000010820	ENSMMUG00000002936	ENSOANG00000007188	ENSPPYG00000016253	ENSPPAG00000013338	ENSPTRG00000017746	ENSRNOG00000017250
ENSMUSG00000000263	ENSBTAG00000014395	ENSGALG00000004134	ENSGGOG00000014389	ENSG00000145888	ENSMODG00000008959	ENSMMUG00000014704	ENSOANG00000005109	ENSPPYG00000015969	ENSPPAG00000042329	ENSPTRG00000017439	ENSRNOG00000013588
ENSMUSG00000000276	ENSBTAG00000004449	ENSGALG00000003131	ENSGGOG00000011783	ENSG00000153933	ENSMODG00000014818	ENSMMUG00000005789	ENSOANG00000010294	ENSPPYG00000008250	ENSPPAG00000037805	ENSPTRG00000009431	ENSRNOG00000002338
ENSMUSG00000000295	ENSBTAG00000003340	ENSGALG00000014841	ENSGGOG00000006074	ENSG00000111906	ENSMODG00000017712	ENSMMUG00000015317	ENSOANG00000020120	ENSPPYG00000016986	ENSPPAG00000033871	ENSPTRG00000018573	ENSRNOG00000021442
ENSMUSG00000000296	ENSBTAG00000003336	ENSGALG00000014843	ENSGGOG00000004847	ENSG00000111907	ENSMODG00000017714	ENSMMUG00000003135	ENSOANG00000012559	ENSPPYG00000016985	ENSPPAG00000027933	ENSPTRG00000018572	ENSRNOG00000021478
ENSMUSG00000000301	ENSBTAG00000016432	ENSGALG00000004875	ENSGGOG00000006888	ENSG00000133027	ENSMODG00000004778	ENSMMUG00000006495	ENSOANG00000001259	ENSPPYG00000008033	ENSPPAG00000002104	ENSPTRG00000008832	ENSRNOG00000054423
ENSMUSG00000000305	ENSBTAG00000015058	ENSGALG00000005102	ENSGGOG00000000182	ENSG00000179242	ENSMODG00000016675	ENSMMUG00000012314	ENSOANG00000003373	ENSPPYG00000011193	ENSPPAG00000031709	ENSPTRG00000013693	ENSRNOG00000052405
ENSMUSG00000000325	ENSBTAG00000001473	ENSGALG00000043373	ENSGGOG00000006706	ENSG00000099889	ENSMODG00000029074	ENSMMUG00000017153	ENSOANG00000031991	ENSPPYG00000011589	ENSPPAG00000027324	ENSPTRG00000014071	ENSRNOG00000001888
ENSMUSG00000000385	ENSBTAG00000009132	ENSGALG00000016144	ENSGGOG00000004836	ENSG00000184012	ENSMODG00000020961	ENSMMUG00000015332	ENSOANG00000006438	ENSPPYG00000011438	ENSPPAG00000018889	ENSPTRG00000013928	ENSRNOG00000001976
ENSMUSG00000000392	ENSBTAG00000008140	ENSGALG00000011099	ENSGGOG00000015091	ENSG00000078098	ENSMODG00000005588	ENSMMUG00000003200	ENSOANG00000006191	ENSPPYG00000012886	ENSPPAG00000026636	ENSPTRG00000012581	ENSRNOG00000005679
ENSMUSG00000000402	ENSBTAG00000017927	ENSGALG00000016584	ENSGGOG00000012812	ENSG00000198759	ENSMODG00000017323	ENSMMUG00000022615	ENSOANG00000002610	ENSPPYG00000020130	ENSPPAG00000029730	ENSPTRG00000023831	ENSRNOG00000004275
ENSMUSG00000000409	ENSBTAG00000012695	ENSGALG00000000466	ENSGGOG00000002562	ENSG00000182866	ENSMODG00000017464	ENSMMUG00000040694	ENSOANG00000001195	ENSPPYG00000001596	ENSPPAG00000031166	ENSPTRG00000000479	ENSRNOG00000009705
ENSMUSG00000000416	ENSBTAG00000021469	ENSGALG00000009134	ENSGGOG00000014941	ENSG00000077063	ENSMODG00000015754	ENSMMUG00000010297	ENSOANG00000021090	ENSPPYG00000017941	ENSPPAG00000032264	ENSPTRG00000019620	ENSRNOG00000061845
ENSMUSG00000000420	ENSBTAG00000011206	ENSGALG00000013135	ENSGGOG00000006840	ENSG00000141429	ENSMODG00000000501	ENSMMUG00000000457	ENSOANG00000001744	ENSPPYG00000009109	ENSPPAG00000023478	ENSPTRG00000009972	ENSRNOG00000016207
ENSMUSG00000000435	ENSBTAG00000026972	ENSGALG00000028091	ENSGGOG00000004366	ENSG00000111049	ENSMODG00000020478	ENSMMUG00000011669	ENSOANG00000004853	ENSPPYG00000004800	ENSPPAG00000028699	ENSPTRG00000005261	ENSRNOG00000004768
ENSMUSG00000000439	ENSBTAG00000004512	ENSGALG00000004991	ENSGGOG00000000429	ENSG00000075975	ENSMODG00000006280	ENSMMUG00000009536	ENSOANG00000014946	ENSPPYG00000013387	ENSPPAG00000036523	ENSPTRG00000014634	ENSRNOG00000009176
ENSMUSG00000000440	ENSBTAG00000001333	ENSGALG00000004974	ENSGGOG00000013117	ENSG00000132170	ENSMODG00000006233	ENSMMUG00000007191	ENSOANG00000022445	ENSPPYG00000013648	ENSPPAG00000029006	ENSPTRG00000014632	ENSRNOG00000008839
ENSMUSG00000000489	ENSBTAG00000021697	ENSGALG00000012178	ENSGGOG00000015535	ENSG00000100311	ENSMODG00000009558	ENSMMUG00000002739	ENSOANG00000006889	ENSPPYG00000011836	ENSPPAG00000029810	ENSPTRG00000014392	ENSRNOG00000017197
ENSMUSG00000000538	ENSBTAG00000003983	ENSGALG00000004902	ENSGGOG00000000487	ENSG00000175662	ENSMODG00000014061	ENSMMUG00000003349	ENSOANG00000014807	ENSPPYG00000008039	ENSPPAG00000025001	ENSPTRG00000008838	ENSRNOG00000003590
ENSMUSG00000000560	ENSBTAG00000011817	ENSGALG00000014206	ENSGGOG00000006837	ENSG00000151834	ENSMODG00000020598	ENSMMUG00000003614	ENSOANG00000010534	ENSPPYG00000014705	ENSPPAG00000028343	ENSPTRG00000016026	ENSRNOG00000002349
ENSMUSG00000000594	ENSBTAG00000021829	ENSGALG00000027534	ENSGGOG00000015302	ENSG00000196743	ENSMODG00000009252	ENSMMUG00000022869	ENSOANG00000005117	ENSPPYG00000015962	ENSPPAG00000037388	ENSPTRG00000017431	ENSRNOG00000052219
ENSMUSG00000000605	ENSBTAG00000011121	ENSGALG00000016607	ENSGGOG00000010955	ENSG00000073464	ENSMODG00000017425	ENSMMUG00000013635	ENSOANG00000002630	ENSPPYG00000020118	ENSPPAG00000004966	ENSPTRG00000021655	ENSRNOG00000003533
ENSMUSG00000000631	ENSBTAG00000017380	ENSGALG00000003741	ENSGGOG00000012380	ENSG00000196535	ENSMODG00000019323	ENSMMUG00000009938	ENSOANG00000011452	ENSPPYG00000008119	ENSPPAG00000031681	ENSPTRG00000023928	ENSRNOG00000033101
ENSMUSG00000000708	ENSBTAG00000000746	ENSGALG00000011278	ENSGGOG00000016696	ENSG00000114166	ENSMODG00000014806	ENSMMUG00000020342	ENSOANG00000004987	ENSPPYG00000014072	ENSPPAG00000040413	ENSPTRG00000014685	ENSRNOG00000011871
ENSMUSG00000000724	ENSBTAG00000005352	ENSGALG00000004035	ENSGGOG00000002292	ENSG00000108255	ENSMODG00000019325	ENSMMUG00000012855	ENSOANG00000012646	ENSPPYG00000008120	ENSPPAG00000006625	ENSPTRG00000008946	ENSRNOG00000008700
ENSMUSG00000000738	ENSBTAG00000012041	ENSGALG00000028363	ENSGGOG00000016119	ENSG00000197912	ENSMODG00000003715	ENSMMUG00000017920	ENSOANG00000006730	ENSPPYG00000007665	ENSPPAG00000030811	ENSPTRG00000039136	ENSRNOG00000015150
ENSMUSG00000000753	ENSBTAG00000009705	ENSGALG00000003015	ENSGGOG00000000241	ENSG00000132386	ENSMODG00000010515	ENSMMUG00000022194	ENSOANG00000010878	ENSPPYG00000007783	ENSPPAG00000031887	ENSPTRG00000008537	ENSRNOG00000003172
ENSMUSG00000000766	ENSBTAG00000019719	ENSGALG00000013616	ENSGGOG00000024312	ENSG00000112038	ENSMODG00000008382	ENSMMUG00000022691	ENSOANG00000014619	ENSPPYG00000029500	ENSPPAG00000041853	ENSPTRG00000018723	ENSRNOG00000018191
ENSMUSG00000000782	ENSBTAG00000001002	ENSGALG00000006480	ENSGGOG00000008257	ENSG00000081059	ENSMODG00000014163	ENSMMUG00000022788	ENSOANG00000011198	ENSPPYG00000015782	ENSPPAG00000034368	ENSPTRG00000017236	ENSRNOG00000005872
ENSMUSG00000000791	ENSBTAG00000011481	ENSGALG00000035825	ENSGGOG00000003006	ENSG00000096996	ENSMODG00000003116	ENSMMUG00000012096	ENSOANG00000001288	ENSPPYG00000009729	ENSPPAG00000035617	ENSPTRG00000010692	ENSRNOG00000019216
ENSMUSG00000000792	ENSBTAG00000015830	ENSGALG00000041932	ENSGGOG00000005541	ENSG00000105641	ENSMODG00000029513	ENSMMUG00000028843	ENSOANG00000031892	ENSPPYG00000009726	ENSPPAG00000028320	ENSPTRG00000010687	ENSRNOG00000018822
ENSMUSG00000000811	ENSBTAG00000011795	ENSGALG00000039363	ENSGGOG00000005318	ENSG00000197763	ENSMODG00000007668	ENSMMUG00000001714	ENSOANG00000011540	ENSPPYG00000013449	ENSPPAG00000039160	ENSPTRG00000015338	ENSRNOG00000059810
ENSMUSG00000000823	ENSBTAG00000011646	ENSGALG00000006013	ENSGGOG00000002088	ENSG00000196700	ENSMODG00000017043	ENSMMUG00000015556	ENSOANG00000004922	ENSPPYG00000029607	ENSPPAG00000032177	ENSPTRG00000013766	ENSRNOG00000015558
ENSMUSG00000000827	ENSBTAG00000021232	ENSGALG00000004683	ENSGGOG00000000570	ENSG00000101150	ENSMODG00000017025	ENSMMUG00000042458	ENSOANG00000021592	ENSPPYG00000011251	ENSPPAG00000029970	ENSPTRG00000013757	ENSRNOG00000015122
ENSMUSG00000000838	ENSBTAG00000012552	ENSGALG00000009177	ENSGGOG00000010373	ENSG00000102081	ENSMODG00000005550	ENSMMUG00000015814	ENSOANG00000001097	ENSPPYG00000020797	ENSPPAG00000041836	ENSPTRG00000022349	ENSRNOG00000057464
ENSMUSG00000000861	ENSBTAG00000016534	ENSGALG00000034048	ENSGGOG00000007337	ENSG00000119866	ENSMODG00000002114	ENSMMUG00000011303	ENSOANG00000012402	ENSPPYG00000012393	ENSPPAG00000034227	ENSPTRG00000011944	ENSRNOG00000007049
ENSMUSG00000000881	ENSBTAG00000011291	ENSGALG00000041900	ENSGGOG00000004925	ENSG00000082458	ENSMODG00000004962	ENSMMUG00000013948	ENSOANG00000032112	ENSPPYG00000020440	ENSPPAG00000039640	ENSPTRG00000021999	ENSRNOG00000002767
ENSMUSG00000000884	ENSBTAG00000021052	ENSGALG00000001925	ENSGGOG00000039800	ENSG00000185838	ENSMODG00000021175	ENSMMUG00000045638	ENSOANG00000013233	ENSPPYG00000011586	ENSPPAG00000041675	ENSPTRG00000044843	ENSRNOG00000001891
ENSMUSG00000000889	ENSBTAG00000004508	ENSGALG00000040045	ENSGGOG00000016022	ENSG00000123454	ENSMODG00000013013	ENSMMUG00000017207	ENSOANG00000002842	ENSPPYG00000019742	ENSPPAG00000036112	ENSPTRG00000021521	ENSRNOG00000006641
ENSMUSG00000000915	ENSBTAG00000021595	ENSGALG00000031511	ENSGGOG00000004939	ENSG00000130787	ENSMODG00000012341	ENSMMUG00000015221	ENSOANG00000006185	ENSPPYG00000005075	ENSPPAG00000039152	ENSPTRG00000005586	ENSRNOG00000001091
ENSMUSG00000001036	ENSBTAG00000017771	ENSGALG00000035919	ENSGGOG00000016972	ENSG00000072134	ENSMODG00000000977	ENSMMUG00000000140	ENSOANG00000015814	ENSPPYG00000008061	ENSPPAG00000030224	ENSPTRG00000008865	ENSRNOG00000060550
ENSMUSG00000001062	ENSBTAG00000021165	ENSGALG00000023468	ENSGGOG00000010945	ENSG00000075399	ENSMODG00000003493	ENSMMUG00000002505	ENSOANG00000004836	ENSPPYG00000007672	ENSPPAG00000043316	ENSPTRG00000031104	ENSRNOG00000028904
ENSMUSG00000001065	ENSBTAG00000001904	ENSGALG00000000513	ENSGGOG00000010960	ENSG00000158805	ENSMODG00000003479	ENSMMUG00000002506	ENSOANG00000004837	ENSPPYG00000007673	ENSPPAG00000030560	ENSPTRG00000008487	ENSRNOG00000016631
ENSMUSG00000001089	ENSBTAG00000009502	ENSGALG00000025858	ENSGGOG00000012024	ENSG00000169641	ENSMODG00000016143	ENSMMUG00000045584	ENSOANG00000004001	ENSPPYG00000001746	ENSPPAG00000041932	ENSPTRG00000000322	ENSRNOG00000022402
ENSMUSG00000001095	ENSBTAG00000008788	ENSGALG00000003647	ENSGGOG00000028117	ENSG00000007216	ENSMODG00000019249	ENSMMUG00000037573	ENSOANG00000013420	ENSPPYG00000008095	ENSPPAG00000031065	ENSPTRG00000008919	ENSRNOG00000010337
ENSMUSG00000001100	ENSBTAG00000008116	ENSGALG00000003211	ENSGGOG00000042668	ENSG00000004142	ENSMODG00000019237	ENSMMUG00000019146	ENSOANG00000015619	ENSPPYG00000008089	ENSPPAG00000032933	ENSPTRG00000051371	ENSRNOG00000009252
ENSMUSG00000001143	ENSBTAG00000003975	ENSGALG00000041177	ENSGGOG00000001391	ENSG00000114988	ENSMODG00000016022	ENSMMUG00000011487	ENSOANG00000015450	ENSPPYG00000012077	ENSPPAG00000029796	ENSPTRG00000012239	ENSRNOG00000015699
ENSMUSG00000001150	ENSBTAG00000003148	ENSGALG00000004363	ENSGGOG00000015716	ENSG00000160294	ENSMODG00000008187	ENSMMUG00000022331	ENSOANG00000013563	ENSPPYG00000011532	ENSPPAG00000025048	ENSPTRG00000014019	ENSRNOG00000001272
ENSMUSG00000001151	ENSBTAG00000030670	ENSGALG00000007021	ENSGGOG00000011788	ENSG00000160299	ENSMODG00000008392	ENSMMUG00000012914	ENSOANG00000020123	ENSPPYG00000011537	ENSPPAG00000034343	ENSPTRG00000014023	ENSRNOG00000001276
ENSMUSG00000001156	ENSBTAG00000001042	ENSGALG00000013882	ENSGGOG00000011287	ENSG00000059728	ENSMODG00000011481	ENSMMUG00000041817	ENSOANG00000003095	ENSPPYG00000012331	ENSPPAG00000034365	ENSPTRG00000012023	ENSRNOG00000017720
ENSMUSG00000001211	ENSBTAG00000020456	ENSGALG00000031932	ENSGGOG00000043336	ENSG00000160216	ENSMODG00000021037	ENSMMUG00000045179	ENSOANG00000006473	ENSPPYG00000011476	ENSPPAG00000029344	ENSPTRG00000042805	ENSRNOG00000001205
ENSMUSG00000001228	ENSBTAG00000002224	ENSGALG00000034271	ENSGGOG00000004610	ENSG00000276043	ENSMODG00000001108	ENSMMUG00000012705	ENSOANG00000005332	ENSPPYG00000009422	ENSPPAG00000036791	ENSPTRG00000010326	ENSRNOG00000048411
ENSMUSG00000001229	ENSBTAG00000021134	ENSGALG00000004200	ENSGGOG00000002848	ENSG00000142002	ENSMODG00000001039	ENSMMUG00000021716	ENSOANG00000030152	ENSPPYG00000009415	ENSPPAG00000043157	ENSPTRG00000010319	ENSRNOG00000050748
ENSMUSG00000001260	ENSBTAG00000012296	ENSGALG00000020143	ENSGGOG00000016499	ENSG00000163285	ENSMODG00000020596	ENSMMUG00000012820	ENSOANG00000010535	ENSPPYG00000014704	ENSPPAG00000027800	ENSPTRG00000016024	ENSRNOG00000002360
ENSMUSG00000001300	ENSBTAG00000016991	ENSGALG00000029175	ENSGGOG00000017193	ENSG00000125266	ENSMODG00000005556	ENSMMUG00000009892	ENSOANG00000011323	ENSPPYG00000005489	ENSPPAG00000028987	ENSPTRG00000006021	ENSRNOG00000014648
ENSMUSG00000001348	ENSBTAG00000004826	ENSGALG00000032854	ENSGGOG00000012412	ENSG00000102575	ENSMODG00000006705	ENSMMUG00000002974	ENSOANG00000013181	ENSPPYG00000029796	ENSPPAG00000022542	ENSPTRG00000010513	ENSRNOG00000046261
ENSMUSG00000001349	ENSBTAG00000011207	ENSGALG00000041266	ENSGGOG00000025569	ENSG00000130176	ENSMODG00000006688	ENSMMUG00000001473	ENSOANG00000010453	ENSPPYG00000010542	ENSPPAG00000036334	ENSPTRG00000010511	ENSRNOG00000027736
ENSMUSG00000001419	ENSBTAG00000046545	ENSGALG00000037787	ENSGGOG00000008534	ENSG00000116604	ENSMODG00000016861	ENSMMUG00000016696	ENSOANG00000021952	ENSPPYG00000000716	ENSPPAG00000038584	ENSPTRG00000001460	ENSRNOG00000031778
ENSMUSG00000001435	ENSBTAG00000023907	ENSGALG00000038311	ENSGGOG00000011704	ENSG00000182871	ENSMODG00000029496	ENSMMUG00000004472	ENSOANG00000000667	ENSPPYG00000011521	ENSPPAG00000014049	ENSPTRG00000014005	ENSRNOG00000001229
ENSMUSG00000001436	ENSBTAG00000024162	ENSGALG00000030511	ENSGGOG00000011734	ENSG00000173638	ENSMODG00000018853	ENSMMUG00000004477	ENSOANG00000000668	ENSPPYG00000011523	ENSPPAG00000027716	ENSPTRG00000031409	ENSRNOG00000001232
ENSMUSG00000001440	ENSBTAG00000006586	ENSGALG00000036962	ENSGGOG00000008089	ENSG00000108424	ENSMODG00000012505	ENSMMUG00000019760	ENSOANG00000000110	ENSPPYG00000025935	ENSPPAG00000028842	ENSPTRG00000009333	ENSRNOG00000009275
ENSMUSG00000001497	ENSBTAG00000009186	ENSGALG00000010114	ENSGGOG00000001528	ENSG00000198807	ENSMODG00000012681	ENSMMUG00000009648	ENSOANG00000014065	ENSPPYG00000005755	ENSPPAG00000028767	ENSPTRG00000006281	ENSRNOG00000008826
ENSMUSG00000001508	ENSBTAG00000003956	ENSGALG00000029917	ENSGGOG00000013199	ENSG00000108823	ENSMODG00000011969	ENSMMUG00000001466	ENSOANG00000009519	ENSPPYG00000008935	ENSPPAG00000043792	ENSPTRG00000009391	ENSRNOG00000003998
ENSMUSG00000001510	ENSBTAG00000017409	ENSGALG00000040529	ENSGGOG00000014997	ENSG00000064195	ENSMODG00000012098	ENSMMUG00000000157	ENSOANG00000010094	ENSPPYG00000008930	ENSPPAG00000003644	ENSPTRG00000009386	ENSRNOG00000004278
ENSMUSG00000001521	ENSBTAG00000015879	ENSGALG00000013424	ENSGGOG00000002594	ENSG00000078246	ENSMODG00000018342	ENSMMUG00000004172	ENSOANG00000001390	ENSPPYG00000004155	ENSPPAG00000029549	ENSPTRG00000004536	ENSRNOG00000005767
ENSMUSG00000001552	ENSBTAG00000017685	ENSGALG00000017414	ENSGGOG00000010104	ENSG00000173801	ENSMODG00000014681	ENSMMUG00000013048	ENSOANG00000013831	ENSPPYG00000008410	ENSPPAG00000040955	ENSPTRG00000009178	ENSRNOG00000015380
ENSMUSG00000001555	ENSBTAG00000011454	ENSGALG00000025764	ENSGGOG00000010119	ENSG00000141756	ENSMODG00000014716	ENSMMUG00000013054	ENSOANG00000003836	ENSPPYG00000008408	ENSPPAG00000028890	ENSPTRG00000009180	ENSRNOG00000015941
ENSMUSG00000001558	ENSBTAG00000011459	ENSGALG00000003624	ENSGGOG00000010132	ENSG00000161594	ENSMODG00000014695	ENSMMUG00000005961	ENSOANG00000012657	ENSPPYG00000008406	ENSPPAG00000031496	ENSPTRG00000009182	ENSRNOG00000016749
ENSMUSG00000001569	ENSBTAG00000016435	ENSGALG00000006437	ENSGGOG00000010920	ENSG00000146909	ENSMODG00000005177	ENSMMUG00000039033	ENSOANG00000006139	ENSPPYG00000018222	ENSPPAG00000041374	ENSPTRG00000019917	ENSRNOG00000048969
ENSMUSG00000001576	ENSBTAG00000015955	ENSGALG00000002863	ENSGGOG00000008455	ENSG00000113719	ENSMODG00000006214	ENSMMUG00000003067	ENSOANG00000003983	ENSPPYG00000016049	ENSPPAG00000030828	ENSPTRG00000017535	ENSRNOG00000003508
ENSMUSG00000001588	ENSBTAG00000010527	ENSGALG00000040351	ENSGGOG00000001685	ENSG00000072818	ENSMODG00000006852	ENSMMUG00000006211	ENSOANG00000020541	ENSPPYG00000007909	ENSPPAG00000037176	ENSPTRG00000033884	ENSRNOG00000015674
ENSMUSG00000001604	ENSBTAG00000038865	ENSGALG00000038170	ENSGGOG00000001152	ENSG00000204219	ENSMODG00000016146	ENSMMUG00000010977	ENSOANG00000014624	ENSPPYG00000001741	ENSPPAG00000043969	ENSPTRG00000023819	ENSRNOG00000011794
ENSMUSG00000001632	ENSBTAG00000007776	ENSGALG00000033529	ENSGGOG00000014249	ENSG00000156983	ENSMODG00000005085	ENSMMUG00000006116	ENSOANG00000012087	ENSPPYG00000013682	ENSPPAG00000018806	ENSPTRG00000014592	ENSRNOG00000008142
ENSMUSG00000001661	ENSBTAG00000009238	ENSGALG00000039051	ENSGGOG00000001628	ENSG00000197757	ENSMODG00000021342	ENSMMUG00000046055	ENSOANG00000004428	ENSPPYG00000004594	ENSPPAG00000036938	ENSPTRG00000022997	ENSRNOG00000016442
ENSMUSG00000001687	ENSBTAG00000012170	ENSGALG00000017084	ENSGGOG00000023146	ENSG00000122042	ENSMODG00000009207	ENSMMUG00000003771	ENSOANG00000009075	ENSPPYG00000005251	ENSPPAG00000027496	ENSPTRG00000005751	ENSRNOG00000000921
ENSMUSG00000001729	ENSBTAG00000017636	ENSGALG00000011620	ENSGGOG00000012984	ENSG00000142208	ENSMODG00000013693	ENSMMUG00000001044	ENSOANG00000031179	ENSPPYG00000006192	ENSPPAG00000040270	ENSPTRG00000006775	ENSRNOG00000028629
ENSMUSG00000001741	ENSBTAG00000010963	ENSGALG00000006388	ENSGGOG00000005128	ENSG00000172349	ENSMODG00000019395	ENSMMUG00000011555	ENSOANG00000031237	ENSPPYG00000006720	ENSPPAG00000036833	ENSPTRG00000007369	ENSRNOG00000011680
ENSMUSG00000001783	ENSBTAG00000011070	ENSGALG00000012611	ENSGGOG00000011402	ENSG00000100220	ENSMODG00000001414	ENSMMUG00000006720	ENSOANG00000005524	ENSPPYG00000011752	ENSPPAG00000028667	ENSPTRG00000014287	ENSRNOG00000004813
ENSMUSG00000001786	ENSBTAG00000020634	ENSGALG00000012569	ENSGGOG00000017158	ENSG00000100225	ENSMODG00000001336	ENSMMUG00000006728	ENSOANG00000005522	ENSPPYG00000011755	ENSPPAG00000030954	ENSPTRG00000014290	ENSRNOG00000004637
