ensembl_gene_id	pabelii_homolog_ensembl_gene	pabelii_homolog_associated_gene_name	pabelii_homolog_ensembl_peptide	pabelii_homolog_chromosome	pabelii_homolog_chrom_start	pabelii_homolog_chrom_end	pabelii_homolog_canonical_transcript_protein	pabelii_homolog_subtype	pabelii_homolog_orthology_type	pabelii_homolog_perc_id	pabelii_homolog_perc_id_r1	pabelii_homolog_goc_score	pabelii_homolog_wga_coverage	pabelii_homolog_dn	pabelii_homolog_ds	pabelii_homolog_orthology_confidence
ENSMUSG00000065815	ENSPPYG00000026422	RF00026	ENSPPYT00000029901	11	122581115	122581214	ENSMUST00000083881	Theria	ortholog_one2many	77.5701	83	NA	NA	NA	NA	0
ENSMUSG00000065815	ENSPPYG00000024797	RF00026	ENSPPYT00000028276	16	56415747	56415850	ENSMUST00000083881	Theria	ortholog_one2many	72.8972	75	NA	NA	NA	NA	0
ENSMUSG00000094824	ENSPPYG00000022665	RF00560	ENSPPYT00000026144	12	71954149	71954275	ENSMUST00000104610	Eutheria	ortholog_many2many	71.9697	74.8031	NA	NA	NA	NA	0
ENSMUSG00000094824	ENSPPYG00000023234	RF00560	ENSPPYT00000026713	9	133719230	133719361	ENSMUST00000104610	Eutheria	ortholog_many2many	80.303	80.303	NA	NA	NA	NA	0
ENSMUSG00000094824	ENSPPYG00000023474	RF00560	ENSPPYT00000026953	10	113222458	113222589	ENSMUST00000104610	Eutheria	ortholog_many2many	78.7879	78.7879	NA	NA	NA	NA	0
ENSMUSG00000084609	ENSPPYG00000024015	RF00019	ENSPPYT00000027494	18	62257614	62257725	ENSMUST00000122660	Eutheria	ortholog_one2one	65.873	74.1071	NA	NA	NA	NA	0
ENSMUSG00000065371	ENSPPYG00000021239	RF00003	ENSPPYT00000024718	8	23735150	23735311	ENSMUST00000083437	Mammalia	ortholog_one2one	81.875	80.8642	NA	NA	NA	NA	0
ENSMUSG00000096248	ENSPPYG00000022605	RF00108	ENSPPYT00000026084	15	21248248	21248342	ENSMUST00000179835	Eutheria	ortholog_many2many	86.1702	85.2632	NA	NA	NA	NA	0
ENSMUSG00000096248	ENSPPYG00000022662	RF00108	ENSPPYT00000026141	15	21268623	21268717	ENSMUST00000179835	Eutheria	ortholog_many2many	87.234	86.3158	NA	NA	NA	NA	0
ENSMUSG00000096248	ENSPPYG00000023763	RF00108	ENSPPYT00000027242	15	21265957	21266051	ENSMUST00000179835	Eutheria	ortholog_many2many	87.234	86.3158	NA	NA	NA	NA	0
ENSMUSG00000096248	ENSPPYG00000022751	RF00108	ENSPPYT00000026230	15	21250979	21251073	ENSMUST00000179835	Eutheria	ortholog_many2many	88.2979	87.3684	NA	NA	NA	NA	0
ENSMUSG00000096248	ENSPPYG00000025356	RF00108	ENSPPYT00000028835	15	21260595	21260690	ENSMUST00000179835	Eutheria	ortholog_many2many	87.234	85.4167	NA	NA	NA	NA	0
ENSMUSG00000096248	ENSPPYG00000025451	RF00108	ENSPPYT00000028930	15	21259131	21259225	ENSMUST00000179835	Eutheria	ortholog_many2many	87.234	86.3158	NA	NA	NA	NA	0
ENSMUSG00000096248	ENSPPYG00000024736	RF00108	ENSPPYT00000028215	15	21256341	21256436	ENSMUST00000179835	Eutheria	ortholog_many2many	89.3617	87.5	NA	NA	NA	NA	0
ENSMUSG00000096248	ENSPPYG00000025117	RF00108	ENSPPYT00000028596	15	21263342	21263436	ENSMUST00000179835	Eutheria	ortholog_many2many	87.234	86.3158	NA	NA	NA	NA	0
ENSMUSG00000096248	ENSPPYG00000023733	RF00108	ENSPPYT00000027212	15	21253652	21253746	ENSMUST00000179835	Eutheria	ortholog_many2many	87.234	86.3158	NA	NA	NA	NA	0
ENSMUSG00000065657	ENSPPYG00000024655	RF00026	ENSPPYT00000028134	2a	68375822	68375928	ENSMUST00000083723	Eutheria	ortholog_one2one	95.1923	92.5234	NA	NA	NA	NA	0
ENSMUSG00000087716	ENSPPYG00000028868	RF00423	ENSPPYT00000032347	2b	3656092	3656227	ENSMUST00000157091	Eutheria	ortholog_one2many	60.4839	55.1471	NA	NA	NA	NA	0
ENSMUSG00000024803	ENSPPYG00000002474	ANKRD1	ENSPPYP00000002868	10	89640098	89649579	ENSMUSP00000025718	Euarchontoglires	ortholog_one2one	90.2821	90.2821	100	100	0.0499	0.5059	1
ENSMUSG00000095119	ENSPPYG00000022657	RF00188	ENSPPYT00000026136	1	199347740	199347825	ENSMUST00000083856	Eutheria	ortholog_many2many	86.747	83.7209	NA	100	NA	NA	1
ENSMUSG00000095119	ENSPPYG00000024187	RF00188	ENSPPYT00000027666	1	199362010	199362095	ENSMUST00000083856	Eutheria	ortholog_many2many	86.747	83.7209	NA	100	NA	NA	1
ENSMUSG00000065619	ENSPPYG00000021253		ENSPPYT00000024732	7	126690927	126690996	ENSMUST00000083685	Eutheria	ortholog_one2one	100	100	NA	NA	NA	NA	0
ENSMUSG00000093952	ENSPPYG00000022204	RF00001	ENSPPYT00000025683	Un	14650712	14650833	ENSMUST00000082891	Eutheria	ortholog_one2many	84.0336	81.9672	NA	NA	NA	NA	0
ENSMUSG00000093952	ENSPPYG00000021060	RF00001	ENSPPYT00000024539	Un	31826785	31826906	ENSMUST00000082891	Eutheria	ortholog_one2many	83.1933	81.1475	NA	NA	NA	NA	0
ENSMUSG00000093952	ENSPPYG00000021855	RF00001	ENSPPYT00000025334	4_random	2985407	2985528	ENSMUST00000082891	Eutheria	ortholog_one2many	83.1933	81.1475	NA	NA	NA	NA	0
ENSMUSG00000093952	ENSPPYG00000021106	RF00001	ENSPPYT00000024585	Un	48174889	48175010	ENSMUST00000082891	Eutheria	ortholog_one2many	84.0336	81.9672	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSPPYG00000025321	RF00409	ENSPPYT00000028800	3	319917	320055	ENSMUST00000082629	Amniota	ortholog_one2many	85.7143	86.3309	NA	NA	NA	NA	0
ENSMUSG00000024778	ENSPPYG00000002460	FAS	ENSPPYP00000002850	10	87665924	87700171	ENSMUSP00000025691	Euarchontoglires	ortholog_one2one	48.9297	47.619	100	100	0.4359	0.9255	0
ENSMUSG00000065492	ENSPPYG00000022149	MIR34B	ENSPPYT00000025628	11	108238803	108238886	ENSMUST00000083558	Eutheria	ortholog_one2one	92.8571	92.8571	NA	NA	NA	NA	0
ENSMUSG00000088410	ENSPPYG00000023113	RF00322	ENSPPYT00000026592	2a	107873623	107873757	ENSMUST00000157785	Eutheria	ortholog_one2many	42.2222	42.2222	NA	NA	NA	NA	0
ENSMUSG00000052928	ENSPPYG00000009147	CTIF	ENSPPYP00000010277	18	61024851	61241915	ENSMUSP00000129974	Euarchontoglires	ortholog_one2one	75.2809	92.8713	100	78.35	0.032	0.7559	1
ENSMUSG00000089477	ENSPPYG00000027454	RF00001	ENSPPYT00000030933	9	34572704	34572818	ENSMUST00000158852	Eutheria	ortholog_one2many	57.0248	60	NA	NA	NA	NA	0
ENSMUSG00000089477	ENSPPYG00000021775	RF00001	ENSPPYT00000025254	7	19445516	19445624	ENSMUST00000158852	Eutheria	ortholog_one2many	52.0661	57.7982	NA	NA	NA	NA	0
ENSMUSG00000089477	ENSPPYG00000026804	RF00001	ENSPPYT00000030283	6	3093846	3093969	ENSMUST00000158852	Eutheria	ortholog_one2many	57.8512	56.4516	NA	NA	NA	NA	0
ENSMUSG00000025014	ENSPPYG00000002518	DNTT	ENSPPYP00000002922	10	95242450	95276194	ENSMUSP00000062078	Euarchontoglires	ortholog_one2one	77.5472	80.7466	100	100	0.1151	0.6941	1
ENSMUSG00000064613	ENSPPYG00000022072	RF00003	ENSPPYT00000025551	12	20480442	20480606	ENSMUST00000082679	Eutheria	ortholog_one2one	75	63.6364	NA	NA	NA	NA	0
ENSMUSG00000088419	ENSPPYG00000028903	RF00156	ENSPPYT00000032382	17	24542081	24542207	ENSMUST00000157794	Eutheria	ortholog_one2many	58.209	61.4173	NA	NA	NA	NA	0
ENSMUSG00000088803	ENSPPYG00000027216	RF00100	ENSPPYT00000030695	3	104875625	104875931	ENSMUST00000158178	Eutheria	ortholog_one2many	56.9231	48.2085	NA	NA	NA	NA	0
ENSMUSG00000088803	ENSPPYG00000027062	RF00100	ENSPPYT00000030541	9	73198554	73198848	ENSMUST00000158178	Eutheria	ortholog_one2many	58.8462	51.8644	NA	NA	NA	NA	0
ENSMUSG00000036961	ENSPPYG00000002568	WNT8B	ENSPPYP00000002981	10	99470696	99495298	ENSMUSP00000042867	Eutheria	ortholog_one2one	89.9457	94.302	100	91.75	0.0315	0.6273	1
ENSMUSG00000024256	ENSPPYG00000009042	ADCYAP1	ENSPPYP00000010146	18	31846511	31853564	ENSMUSP00000067057	Euarchontoglires	ortholog_one2one	85.7143	85.2273	25	0	0.0621	0.5557	0
ENSMUSG00000088314	ENSPPYG00000028290	RF00425	ENSPPYT00000031769	X	139560830	139560960	ENSMUST00000157689	Eutheria	ortholog_many2many	54.4	51.9084	NA	NA	NA	NA	0
ENSMUSG00000088314	ENSPPYG00000024003	RF00425	ENSPPYT00000027482	5	79362817	79362948	ENSMUST00000157689	Eutheria	ortholog_many2many	77.6	73.4848	NA	NA	NA	NA	0
ENSMUSG00000088314	ENSPPYG00000024122	RF00425	ENSPPYT00000027601	11	89645327	89645458	ENSMUST00000157689	Eutheria	ortholog_many2many	76	71.9697	NA	NA	NA	NA	0
ENSMUSG00000088314	ENSPPYG00000028013	RF00425	ENSPPYT00000031492	5	30071406	30071534	ENSMUST00000157689	Eutheria	ortholog_many2many	56	54.2636	NA	NA	NA	NA	0
ENSMUSG00000088314	ENSPPYG00000029020	RF00425	ENSPPYT00000032499	6	95148092	95148215	ENSMUST00000157689	Eutheria	ortholog_many2many	60.8	61.2903	NA	NA	NA	NA	0
ENSMUSG00000088314	ENSPPYG00000025383	RF00425	ENSPPYT00000028862	3	181187171	181187298	ENSMUST00000157689	Eutheria	ortholog_many2many	65.6	64.0625	NA	NA	NA	NA	0
ENSMUSG00000089247	ENSPPYG00000024051	RF00612	ENSPPYT00000027530	1	77123573	77123632	ENSMUST00000158622	Eutheria	ortholog_one2many	56	70	NA	NA	NA	NA	0
ENSMUSG00000077421	ENSPPYG00000025462	RF00026	ENSPPYT00000028941	7	7678771	7678877	ENSMUST00000104233	Theria	ortholog_one2one	78.5047	78.5047	NA	NA	NA	NA	0
ENSMUSG00000077575	ENSPPYG00000022989	RF00334	ENSPPYT00000026468	12	84706916	84707042	ENSMUST00000104387	Euteleostomi	ortholog_one2many	76.9231	78.7402	NA	NA	NA	NA	0
ENSMUSG00000077575	ENSPPYG00000025528	RF00334	ENSPPYT00000029007	8	57900380	57900490	ENSMUST00000104387	Euteleostomi	ortholog_one2many	60.7692	71.1712	NA	NA	NA	NA	0
ENSMUSG00000077575	ENSPPYG00000024712	RF00334	ENSPPYT00000028191	11	61599296	61599426	ENSMUST00000104387	Euteleostomi	ortholog_one2many	83.8462	83.2061	NA	NA	NA	NA	0
ENSMUSG00000077575	ENSPPYG00000023588	RF00334	ENSPPYT00000027067	16	2971511	2971636	ENSMUST00000104387	Euteleostomi	ortholog_one2many	76.1538	78.5714	NA	NA	NA	NA	0
ENSMUSG00000077575	ENSPPYG00000025744	RF00334	ENSPPYT00000029223	4	76506481	76506604	ENSMUST00000104387	Euteleostomi	ortholog_one2many	74.6154	78.2258	NA	NA	NA	NA	0
ENSMUSG00000088066	ENSPPYG00000023271	RF00026	ENSPPYT00000026750	20	48474881	48474987	ENSMUST00000157441	Theria	ortholog_many2many	71.1538	69.1589	NA	NA	NA	NA	0
ENSMUSG00000088066	ENSPPYG00000028298	RF00026	ENSPPYT00000031777	X	100328882	100328988	ENSMUST00000157441	Theria	ortholog_many2many	65.3846	63.5514	NA	NA	NA	NA	0
ENSMUSG00000025172	ENSPPYG00000002535	ANKRD2	ENSPPYP00000002943	10	96554275	96565596	ENSMUSP00000026172	Euarchontoglires	ortholog_one2one	88.7195	80.8333	100	100	0.0594	0.8377	1
ENSMUSG00000064455	ENSPPYG00000022166	RF00001	ENSPPYT00000025645	16	22621890	22622003	ENSMUST00000082521	Eutheria	ortholog_one2one	85.7143	78.9474	NA	NA	NA	NA	0
ENSMUSG00000096313	ENSPPYG00000022605	RF00108	ENSPPYT00000026084	15	21248248	21248342	ENSMUST00000179895	Eutheria	ortholog_many2many	87.234	86.3158	NA	NA	NA	NA	0
ENSMUSG00000096313	ENSPPYG00000022662	RF00108	ENSPPYT00000026141	15	21268623	21268717	ENSMUST00000179895	Eutheria	ortholog_many2many	88.2979	87.3684	NA	NA	NA	NA	0
ENSMUSG00000096313	ENSPPYG00000023763	RF00108	ENSPPYT00000027242	15	21265957	21266051	ENSMUST00000179895	Eutheria	ortholog_many2many	88.2979	87.3684	NA	NA	NA	NA	0
ENSMUSG00000096313	ENSPPYG00000022751	RF00108	ENSPPYT00000026230	15	21250979	21251073	ENSMUST00000179895	Eutheria	ortholog_many2many	89.3617	88.4211	NA	NA	NA	NA	0
ENSMUSG00000096313	ENSPPYG00000025356	RF00108	ENSPPYT00000028835	15	21260595	21260690	ENSMUST00000179895	Eutheria	ortholog_many2many	88.2979	86.4583	NA	NA	NA	NA	0
ENSMUSG00000096313	ENSPPYG00000025451	RF00108	ENSPPYT00000028930	15	21259131	21259225	ENSMUST00000179895	Eutheria	ortholog_many2many	88.2979	87.3684	NA	NA	NA	NA	0
ENSMUSG00000096313	ENSPPYG00000024736	RF00108	ENSPPYT00000028215	15	21256341	21256436	ENSMUST00000179895	Eutheria	ortholog_many2many	90.4255	88.5417	NA	NA	NA	NA	0
ENSMUSG00000096313	ENSPPYG00000025117	RF00108	ENSPPYT00000028596	15	21263342	21263436	ENSMUST00000179895	Eutheria	ortholog_many2many	88.2979	87.3684	NA	NA	NA	NA	0
ENSMUSG00000096313	ENSPPYG00000023733	RF00108	ENSPPYT00000027212	15	21253652	21253746	ENSMUST00000179895	Eutheria	ortholog_many2many	88.2979	87.3684	NA	NA	NA	NA	0
ENSMUSG00000096826	ENSPPYG00000019114	CCL27	ENSPPYP00000021419	9	26955297	26955988	ENSMUSP00000137284	Euarchontoglires	ortholog_one2many	57.5	61.6071	75	0	0.2836	0.4093	1
ENSMUSG00000064788	ENSPPYG00000022809	RF00410	ENSPPYT00000026288	1	144747091	144747227	ENSMUST00000082854	Amniota	ortholog_one2one	84.6715	84.6715	NA	NA	NA	NA	0
ENSMUSG00000025076	ENSPPYG00000002664		ENSPPYP00000003106	10	113066437	113120411	ENSMUSP00000026062	Euarchontoglires	ortholog_one2one	82.5082	82.2368	100	100	0.0982	0.828	1
ENSMUSG00000071037	ENSPPYG00000012448	CAMKMT	ENSPPYP00000013903	2a	66606383	67038217	ENSMUSP00000092811	Euarchontoglires	ortholog_one2one	84.2105	82.6748	100	100	0.097	0.2183	1
ENSMUSG00000024907	ENSPPYG00000002969	GAL	ENSPPYP00000003443	11	7393020	7399238	ENSMUSP00000025842	Euarchontoglires	ortholog_one2one	70.1613	70.7317	100	0	0.159	1.1594	1
ENSMUSG00000095660	ENSPPYG00000022675	RF00105	ENSPPYT00000026154	15	21452839	21452920	ENSMUST00000178441	Eutheria	ortholog_many2many	88.6076	85.3659	NA	NA	NA	NA	0
ENSMUSG00000095660	ENSPPYG00000024817	RF00105	ENSPPYT00000028296	15	21436088	21436169	ENSMUST00000178441	Eutheria	ortholog_many2many	86.076	82.9268	NA	NA	NA	NA	0
ENSMUSG00000095660	ENSPPYG00000023883	RF00105	ENSPPYT00000027362	15	21426070	21426150	ENSMUST00000178441	Eutheria	ortholog_many2many	82.2785	80.2469	NA	NA	NA	NA	0
ENSMUSG00000095660	ENSPPYG00000029147	RF00105	ENSPPYT00000032626	15	21463542	21463606	ENSMUST00000178441	Eutheria	ortholog_many2many	37.9747	46.1538	NA	NA	NA	NA	0
ENSMUSG00000095660	ENSPPYG00000022917	RF00105	ENSPPYT00000026396	15	21450937	21451018	ENSMUST00000178441	Eutheria	ortholog_many2many	87.3418	84.1463	NA	NA	NA	NA	0
ENSMUSG00000095660	ENSPPYG00000024924	RF00105	ENSPPYT00000028403	15	21380006	21380087	ENSMUST00000178441	Eutheria	ortholog_many2many	87.3418	84.1463	NA	NA	NA	NA	0
ENSMUSG00000095660	ENSPPYG00000025208	RF00105	ENSPPYT00000028687	15	21398397	21398478	ENSMUST00000178441	Eutheria	ortholog_many2many	88.6076	85.3659	NA	NA	NA	NA	0
ENSMUSG00000095660	ENSPPYG00000022501	RF00105	ENSPPYT00000025980	15	21394722	21394802	ENSMUST00000178441	Eutheria	ortholog_many2many	87.3418	85.1852	NA	NA	NA	NA	0
ENSMUSG00000077413	ENSPPYG00000025178	RF00088	ENSPPYT00000028657	11	13304936	13305005	ENSMUST00000104225	Eutheria	ortholog_many2many	71.0145	70	NA	NA	NA	NA	0
ENSMUSG00000077413	ENSPPYG00000024663	RF00088	ENSPPYT00000028142	X	113047445	113047514	ENSMUST00000104225	Eutheria	ortholog_many2many	63.7681	62.8571	NA	NA	NA	NA	0
ENSMUSG00000077413	ENSPPYG00000022419	RF00088	ENSPPYT00000025898	11	13308411	13308480	ENSMUST00000104225	Eutheria	ortholog_many2many	71.0145	70	NA	NA	NA	NA	0
ENSMUSG00000098750	ENSPPYG00000028349	RF00492	ENSPPYT00000031828	1	204394729	204394853	ENSMUST00000185037	Eutheria	ortholog_one2one	51.4706	56	NA	NA	NA	NA	0
ENSMUSG00000087817	ENSPPYG00000027620	RF00100	ENSPPYT00000031099	X	137985450	137985727	ENSMUST00000157192	Eutheria	ortholog_one2many	39.0572	41.7266	NA	NA	NA	NA	0
ENSMUSG00000065628	ENSPPYG00000025764	RF00133	ENSPPYT00000029243	19	51077986	51078070	ENSMUST00000083694	Eutheria	ortholog_one2one	83.3333	82.3529	NA	NA	NA	NA	0
ENSMUSG00000095037	ENSPPYG00000022665	RF00560	ENSPPYT00000026144	12	71954149	71954275	ENSMUST00000180276	Eutheria	ortholog_many2many	73.4848	76.378	NA	NA	NA	NA	0
ENSMUSG00000095037	ENSPPYG00000023234	RF00560	ENSPPYT00000026713	9	133719230	133719361	ENSMUST00000180276	Eutheria	ortholog_many2many	74.2424	74.2424	NA	NA	NA	NA	0
ENSMUSG00000095037	ENSPPYG00000023474	RF00560	ENSPPYT00000026953	10	113222458	113222589	ENSMUST00000180276	Eutheria	ortholog_many2many	75	75	NA	NA	NA	NA	0
ENSMUSG00000088195	ENSPPYG00000028315	RF00026	ENSPPYT00000031794	16	58957270	58957375	ENSMUST00000157570	Theria	ortholog_one2one	43.9252	44.3396	NA	NA	NA	NA	0
ENSMUSG00000088651	ENSPPYG00000028030	RF00561	ENSPPYT00000031509	5	170659595	170659707	ENSMUST00000158026	Eutheria	ortholog_one2many	58.6777	62.8319	NA	NA	NA	NA	0
ENSMUSG00000064487	ENSPPYG00000026575	RF00181	ENSPPYT00000030054	14	102507503	102507576	ENSMUST00000082553	Eutheria	ortholog_many2many	61.3333	62.1622	NA	NA	NA	NA	0
ENSMUSG00000064487	ENSPPYG00000024121	RF00181	ENSPPYT00000027600	14	102529124	102529212	ENSMUST00000082553	Eutheria	ortholog_many2many	58.6667	49.4382	NA	NA	NA	NA	0
ENSMUSG00000064487	ENSPPYG00000024898	RF00181	ENSPPYT00000028377	14	102518652	102518726	ENSMUST00000082553	Eutheria	ortholog_many2many	69.3333	69.3333	NA	NA	NA	NA	0
ENSMUSG00000064487	ENSPPYG00000023217	RF00181	ENSPPYT00000026696	14	102524156	102524225	ENSMUST00000082553	Eutheria	ortholog_many2many	64	68.5714	NA	NA	NA	NA	0
ENSMUSG00000064487	ENSPPYG00000023276	RF00181	ENSPPYT00000026755	14	102520414	102520487	ENSMUST00000082553	Eutheria	ortholog_many2many	74.6667	75.6757	NA	NA	NA	NA	0
