ensembl_gene_id	oanatinus_homolog_ensembl_gene	oanatinus_homolog_associated_gene_name	oanatinus_homolog_ensembl_peptide	oanatinus_homolog_chromosome	oanatinus_homolog_chrom_start	oanatinus_homolog_chrom_end	oanatinus_homolog_canonical_transcript_protein	oanatinus_homolog_subtype	oanatinus_homolog_orthology_type	oanatinus_homolog_perc_id	oanatinus_homolog_perc_id_r1	oanatinus_homolog_goc_score	oanatinus_homolog_wga_coverage	oanatinus_homolog_dn	oanatinus_homolog_ds	oanatinus_homolog_orthology_confidence
ENSMUSG00000064357	ENSOANG00000019372	ATP6	ENSOANP00000024992	MT	7993	8673	ENSMUSP00000080996	Mammalia	ortholog_one2one	73.4513	73.4513	100	100	NA	NA	1
ENSMUSG00000064356	ENSOANG00000019373	ATP8	ENSOANP00000024993	MT	7829	8038	ENSMUSP00000080995	Mammalia	ortholog_one2one	46.2687	44.9275	100	100	NA	NA	0
ENSMUSG00000064354	ENSOANG00000019375	COX2	ENSOANP00000024994	MT	7074	7766	ENSMUSP00000080994	Mammalia	ortholog_one2one	88.5463	87.3913	100	100	NA	NA	1
ENSMUSG00000064351	ENSOANG00000019378	COX1	ENSOANP00000024995	MT	5389	6930	ENSMUSP00000080993	Mammalia	ortholog_one2one	91.8288	92.0078	100	100	NA	NA	1
ENSMUSG00000064345	ENSOANG00000019384	MT-ND2	ENSOANP00000024996	MT	3971	5014	ENSMUSP00000080992	Mammalia	ortholog_one2one	54.2029	53.8905	75	100	NA	NA	1
ENSMUSG00000064341	ENSOANG00000019388	ND1	ENSOANP00000024997	MT	2807	3763	ENSMUSP00000080991	Mammalia	ortholog_one2one	72.327	72.327	50	100	NA	NA	1
ENSMUSG00000087887	ENSOANG00000027611	RF00554	ENSOANT00000037736	Contig26401	16128	16268	ENSMUST00000157262	Mammalia	ortholog_one2many	64.5833	65.9574	NA	50	NA	NA	0
ENSMUSG00000065346	ENSOANG00000027422	RF00394	ENSOANT00000037547	Ultra647	16	152	ENSMUST00000083412	Mammalia	ortholog_one2many	64.5455	51.8248	NA	81.13	NA	NA	1
ENSMUSG00000094824	ENSOANG00000017345	RF00560	ENSOANT00000026487	Ultra157	392188	392321	ENSMUST00000104610	Tetrapoda	ortholog_one2many	72.7273	71.6418	NA	99.24	NA	NA	1
ENSMUSG00000065371	ENSOANG00000016139	RF00003	ENSOANT00000025282	Ultra517	198254	198391	ENSMUST00000083437	Mammalia	ortholog_one2one	65.625	76.087	NA	NA	NA	NA	0
ENSMUSG00000064956	ENSOANG00000017327	RF00399	ENSOANT00000026469	Contig379	690729	690833	ENSMUST00000083022	Mammalia	ortholog_many2many	53.0769	65.7143	NA	NA	NA	NA	0
ENSMUSG00000064956	ENSOANG00000019204	RF00399	ENSOANT00000028333	2	37937690	37937819	ENSMUST00000083022	Mammalia	ortholog_many2many	67.6923	67.6923	NA	NA	NA	NA	0
ENSMUSG00000064956	ENSOANG00000017580	RF00399	ENSOANT00000026719	Contig1098	129341	129469	ENSMUST00000083022	Mammalia	ortholog_many2many	67.6923	68.2171	NA	NA	NA	NA	0
ENSMUSG00000064956	ENSOANG00000017923	RF00399	ENSOANT00000027059	Contig105317	1	130	ENSMUST00000083022	Mammalia	ortholog_many2many	67.6923	67.6923	NA	NA	NA	NA	0
ENSMUSG00000087716	ENSOANG00000027937	RF00423	ENSOANT00000038062	Contig18997	11374	11506	ENSMUST00000157091	Amniota	ortholog_one2many	45.9677	42.8571	NA	NA	NA	NA	0
ENSMUSG00000024803	ENSOANG00000012001	ANKRD1	ENSOANP00000019010	Ultra12	1226663	1242820	ENSMUSP00000025718	Mammalia	ortholog_one2one	73.3542	72.4458	75	100	NA	NA	1
ENSMUSG00000095119	ENSOANG00000025507	RF00188	ENSOANT00000035632	Contig23780	3677	3760	ENSMUST00000083856	Mammalia	ortholog_one2many	65.0602	64.2857	NA	NA	NA	NA	0
ENSMUSG00000088875	ENSOANG00000019198	RF00156	ENSOANT00000028327	Ultra401	7215	7349	ENSMUST00000158250	Vertebrata	ortholog_many2many	56.5891	54.0741	NA	35.92	NA	NA	0
ENSMUSG00000088875	ENSOANG00000018997	RF00156	ENSOANT00000028126	Ultra401	6423	6556	ENSMUST00000158250	Vertebrata	ortholog_many2many	55.814	53.7313	NA	NA	NA	NA	0
ENSMUSG00000007480	ENSOANG00000002381	MC5R	ENSOANP00000003774	Contig21988	1996	3012	ENSMUSP00000130497	Mammalia	ortholog_one2one	66.9355	73.6686	0	95.56	NA	NA	1
ENSMUSG00000065619	ENSOANG00000016702	oan-mir-183	ENSOANT00000025845	10	4569067	4569197	ENSMUST00000083685	Mammalia	ortholog_one2one	90	48.0916	NA	97.71	NA	NA	0
ENSMUSG00000064558	ENSOANG00000027757	RF00431	ENSOANT00000037882	Contig49400	3140	3279	ENSMUST00000082624	Amniota	ortholog_many2many	58.4615	54.2857	NA	NA	NA	NA	0
ENSMUSG00000064558	ENSOANG00000027831	RF00431	ENSOANT00000037956	Contig704	75791	75930	ENSMUST00000082624	Amniota	ortholog_many2many	59.2308	55	NA	NA	NA	NA	0
ENSMUSG00000064558	ENSOANG00000018504	RF00431	ENSOANT00000027637	Contig704	69999	70133	ENSMUST00000082624	Amniota	ortholog_many2many	77.6923	74.8148	NA	NA	NA	NA	0
ENSMUSG00000094657	ENSOANG00000016282	RF00001	ENSOANT00000025425	Contig60069	426	544	ENSMUST00000178820	Mammalia	ortholog_one2one	100	100	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000026929	RF00409	ENSOANT00000037054	Contig78469	1688	1824	ENSMUST00000082629	Euteleostomi	ortholog_many2many	65	66.4234	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027041	RF00409	ENSOANT00000037166	1	11013600	11013751	ENSMUST00000082629	Euteleostomi	ortholog_many2many	61.4286	56.5789	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027692	RF00409	ENSOANT00000037817	Contig99371	945	1082	ENSMUST00000082629	Euteleostomi	ortholog_many2many	60.7143	61.5942	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000024852	RF00409	ENSOANT00000034977	Contig11860	11531	11673	ENSMUST00000082629	Euteleostomi	ortholog_many2many	65	63.6364	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027340	RF00409	ENSOANT00000037465	Contig201655	121	256	ENSMUST00000082629	Euteleostomi	ortholog_many2many	67.8571	69.8529	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000026848	RF00409	ENSOANT00000036973	Contig20746	10928	11068	ENSMUST00000082629	Euteleostomi	ortholog_many2many	70	69.5035	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000028190	RF00409	ENSOANT00000038315	Contig267927	403	540	ENSMUST00000082629	Euteleostomi	ortholog_many2many	67.1429	68.1159	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000028072	RF00409	ENSOANT00000038197	Contig118424	996	1132	ENSMUST00000082629	Euteleostomi	ortholog_many2many	67.8571	69.3431	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000025243	RF00409	ENSOANT00000035368	Contig137277	1905	2043	ENSMUST00000082629	Euteleostomi	ortholog_many2many	66.4286	66.9065	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000028066	RF00409	ENSOANT00000038191	Contig2069	19213	19362	ENSMUST00000082629	Euteleostomi	ortholog_many2many	52.1429	48.6667	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000024750	RF00409	ENSOANT00000034875	Contig229458	108	245	ENSMUST00000082629	Euteleostomi	ortholog_many2many	69.2857	70.2899	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027493	RF00409	ENSOANT00000037618	Contig78268	234	371	ENSMUST00000082629	Euteleostomi	ortholog_many2many	58.5714	59.4203	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027158	RF00409	ENSOANT00000037283	Contig9493	6664	6811	ENSMUST00000082629	Euteleostomi	ortholog_many2many	62.8571	59.4595	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000026598	RF00409	ENSOANT00000036723	Contig43783	1815	1952	ENSMUST00000082629	Euteleostomi	ortholog_many2many	62.8571	63.7681	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000025770	RF00409	ENSOANT00000035895	Contig66159	752	890	ENSMUST00000082629	Euteleostomi	ortholog_many2many	67.8571	68.3453	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000026147	RF00409	ENSOANT00000036272	Contig120213	650	787	ENSMUST00000082629	Euteleostomi	ortholog_many2many	65	65.942	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000028124	RF00409	ENSOANT00000038249	3	54311655	54311808	ENSMUST00000082629	Euteleostomi	ortholog_many2many	47.8571	43.5065	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000026537	RF00409	ENSOANT00000036662	Contig21263	10104	10247	ENSMUST00000082629	Euteleostomi	ortholog_many2many	50.7143	49.3056	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000026456	RF00409	ENSOANT00000036581	Contig26881	753	893	ENSMUST00000082629	Euteleostomi	ortholog_many2many	68.5714	68.0851	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027879	RF00409	ENSOANT00000038004	Contig285436	232	362	ENSMUST00000082629	Euteleostomi	ortholog_many2many	60	64.1221	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000026093	RF00409	ENSOANT00000036218	Contig100541	2519	2656	ENSMUST00000082629	Euteleostomi	ortholog_many2many	63.5714	64.4928	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000025778	RF00409	ENSOANT00000035903	Contig203285	227	365	ENSMUST00000082629	Euteleostomi	ortholog_many2many	68.5714	69.0648	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000026850	RF00409	ENSOANT00000036975	Contig7014	11735	11882	ENSMUST00000082629	Euteleostomi	ortholog_many2many	61.4286	58.1081	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027241	RF00409	ENSOANT00000037366	5	19554948	19555101	ENSMUST00000082629	Euteleostomi	ortholog_many2many	51.4286	46.7532	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027858	RF00409	ENSOANT00000037983	Contig162177	385	519	ENSMUST00000082629	Euteleostomi	ortholog_many2many	62.8571	65.1852	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027812	RF00409	ENSOANT00000037937	Contig95269	372	509	ENSMUST00000082629	Euteleostomi	ortholog_many2many	60.7143	61.5942	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000025370	RF00409	ENSOANT00000035495	Contig21618	6354	6495	ENSMUST00000082629	Euteleostomi	ortholog_many2many	67.8571	66.9014	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000025099	RF00409	ENSOANT00000035224	Contig45708	1098	1235	ENSMUST00000082629	Euteleostomi	ortholog_many2many	67.1429	68.1159	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000025611	RF00409	ENSOANT00000035736	Contig72429	70	206	ENSMUST00000082629	Euteleostomi	ortholog_many2many	63.5714	64.9635	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000028096	RF00409	ENSOANT00000038221	Contig60862	1288	1438	ENSMUST00000082629	Euteleostomi	ortholog_many2many	50	46.3576	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000028080	RF00409	ENSOANT00000038205	Contig46620	3312	3451	ENSMUST00000082629	Euteleostomi	ortholog_many2many	69.2857	69.2857	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027213	RF00409	ENSOANT00000037338	Contig234913	102	234	ENSMUST00000082629	Euteleostomi	ortholog_many2many	62.1429	65.4135	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000028053	RF00409	ENSOANT00000038178	Ultra270	1117099	1117245	ENSMUST00000082629	Euteleostomi	ortholog_many2many	44.2857	42.1769	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000024792	RF00409	ENSOANT00000034917	Contig51219	128	265	ENSMUST00000082629	Euteleostomi	ortholog_many2many	68.5714	69.5652	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027795	RF00409	ENSOANT00000037920	Contig30664	6938	7095	ENSMUST00000082629	Euteleostomi	ortholog_many2many	45	39.8734	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000025411	RF00409	ENSOANT00000035536	Contig61922	1052	1189	ENSMUST00000082629	Euteleostomi	ortholog_many2many	64.2857	65.2174	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027034	RF00409	ENSOANT00000037159	Contig47867	1571	1707	ENSMUST00000082629	Euteleostomi	ortholog_many2many	62.1429	63.5037	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000026572	RF00409	ENSOANT00000036697	Contig130608	490	625	ENSMUST00000082629	Euteleostomi	ortholog_many2many	65	66.9118	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000028186	RF00409	ENSOANT00000038311	Ultra462	3427140	3427290	ENSMUST00000082629	Euteleostomi	ortholog_many2many	50.7143	47.0199	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000026185	RF00409	ENSOANT00000036310	Contig123387	369	505	ENSMUST00000082629	Euteleostomi	ortholog_many2many	64.2857	65.6934	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027101	RF00409	ENSOANT00000037226	Contig205714	242	380	ENSMUST00000082629	Euteleostomi	ortholog_many2many	66.4286	66.9065	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027695	RF00409	ENSOANT00000037820	Contig54223	504	640	ENSMUST00000082629	Euteleostomi	ortholog_many2many	63.5714	64.9635	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000024529	RF00409	ENSOANT00000034654	Contig171562	663	800	ENSMUST00000082629	Euteleostomi	ortholog_many2many	67.8571	68.8406	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027531	RF00409	ENSOANT00000037656	Ultra173	2759427	2759583	ENSMUST00000082629	Euteleostomi	ortholog_many2many	62.8571	56.051	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000024971	RF00409	ENSOANT00000035096	Contig83953	858	997	ENSMUST00000082629	Euteleostomi	ortholog_many2many	64.2857	64.2857	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027036	RF00409	ENSOANT00000037161	Contig249230	646	782	ENSMUST00000082629	Euteleostomi	ortholog_many2many	63.5714	64.9635	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000026507	RF00409	ENSOANT00000036632	Contig159539	123	260	ENSMUST00000082629	Euteleostomi	ortholog_many2many	65.7143	66.6667	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027120	RF00409	ENSOANT00000037245	Contig67469	396	531	ENSMUST00000082629	Euteleostomi	ortholog_many2many	63.5714	65.4412	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000025291	RF00409	ENSOANT00000035416	Contig231518	867	1004	ENSMUST00000082629	Euteleostomi	ortholog_many2many	65	65.942	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000024731	RF00409	ENSOANT00000034856	Contig49862	3016	3154	ENSMUST00000082629	Euteleostomi	ortholog_many2many	61.4286	61.8705	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000025349	RF00409	ENSOANT00000035474	Contig151580	712	849	ENSMUST00000082629	Euteleostomi	ortholog_many2many	66.4286	67.3913	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027335	RF00409	ENSOANT00000037460	Contig76475	562	699	ENSMUST00000082629	Euteleostomi	ortholog_many2many	65	65.942	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000026873	RF00409	ENSOANT00000036998	X5	10195421	10195579	ENSMUST00000082629	Euteleostomi	ortholog_many2many	67.8571	59.7484	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000024997	RF00409	ENSOANT00000035122	Contig244690	474	615	ENSMUST00000082629	Euteleostomi	ortholog_many2many	65.7143	64.7887	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000026913	RF00409	ENSOANT00000037038	Contig224958	238	373	ENSMUST00000082629	Euteleostomi	ortholog_many2many	64.2857	66.1765	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000025270	RF00409	ENSOANT00000035395	Contig176227	309	453	ENSMUST00000082629	Euteleostomi	ortholog_many2many	62.8571	60.6897	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000028116	RF00409	ENSOANT00000038241	Contig235393	505	638	ENSMUST00000082629	Euteleostomi	ortholog_many2many	60.7143	63.4328	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000024471	RF00409	ENSOANT00000034596	Contig50368	1287	1424	ENSMUST00000082629	Euteleostomi	ortholog_many2many	67.1429	68.1159	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000025655	RF00409	ENSOANT00000035780	Contig67753	1197	1334	ENSMUST00000082629	Euteleostomi	ortholog_many2many	62.8571	63.7681	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027187	RF00409	ENSOANT00000037312	Contig197656	752	890	ENSMUST00000082629	Euteleostomi	ortholog_many2many	64.2857	64.7482	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000024739	RF00409	ENSOANT00000034864	Contig86455	749	886	ENSMUST00000082629	Euteleostomi	ortholog_many2many	65.7143	66.6667	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000024531	RF00409	ENSOANT00000034656	Ultra285	62307	62453	ENSMUST00000082629	Euteleostomi	ortholog_many2many	62.1429	59.1837	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027634	RF00409	ENSOANT00000037759	Ultra539	1958006	1958152	ENSMUST00000082629	Euteleostomi	ortholog_many2many	49.2857	46.9388	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027329	RF00409	ENSOANT00000037454	Contig94572	651	788	ENSMUST00000082629	Euteleostomi	ortholog_many2many	66.4286	67.3913	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027448	RF00409	ENSOANT00000037573	X1	24726186	24726343	ENSMUST00000082629	Euteleostomi	ortholog_many2many	53.5714	47.4684	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000028008	RF00409	ENSOANT00000038133	Contig37390	3905	4047	ENSMUST00000082629	Euteleostomi	ortholog_many2many	48.5714	47.5524	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027717	RF00409	ENSOANT00000037842	X1	21977194	21977351	ENSMUST00000082629	Euteleostomi	ortholog_many2many	52.1429	46.2025	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000026558	RF00409	ENSOANT00000036683	Contig23158	12063	12207	ENSMUST00000082629	Euteleostomi	ortholog_many2many	66.4286	64.1379	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000025491	RF00409	ENSOANT00000035616	Contig47407	213	353	ENSMUST00000082629	Euteleostomi	ortholog_many2many	65	64.539	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027014	RF00409	ENSOANT00000037139	Contig203502	109	246	ENSMUST00000082629	Euteleostomi	ortholog_many2many	64.2857	65.2174	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000023743	RF00409	ENSOANT00000033867	Contig149516	784	921	ENSMUST00000082629	Euteleostomi	ortholog_many2many	67.1429	68.1159	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000026877	RF00409	ENSOANT00000037002	Contig104749	3618	3753	ENSMUST00000082629	Euteleostomi	ortholog_many2many	62.8571	64.7059	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000025124	RF00409	ENSOANT00000035249	Contig127277	285	422	ENSMUST00000082629	Euteleostomi	ortholog_many2many	67.1429	68.1159	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000024679	RF00409	ENSOANT00000034804	Contig54014	291	428	ENSMUST00000082629	Euteleostomi	ortholog_many2many	62.8571	63.7681	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000024821	RF00409	ENSOANT00000034946	Contig70288	1000	1136	ENSMUST00000082629	Euteleostomi	ortholog_many2many	65	66.4234	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027799	RF00409	ENSOANT00000037924	Contig14526	4295	4435	ENSMUST00000082629	Euteleostomi	ortholog_many2many	60	59.5745	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000028151	RF00409	ENSOANT00000038276	Contig183309	262	393	ENSMUST00000082629	Euteleostomi	ortholog_many2many	55	58.3333	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000024991	RF00409	ENSOANT00000035116	Contig92035	695	832	ENSMUST00000082629	Euteleostomi	ortholog_many2many	65	65.942	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000028121	RF00409	ENSOANT00000038246	Ultra230	174919	175076	ENSMUST00000082629	Euteleostomi	ortholog_many2many	57.8571	51.2658	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027821	RF00409	ENSOANT00000037946	Contig293993	124	263	ENSMUST00000082629	Euteleostomi	ortholog_many2many	60.7143	60.7143	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000025542	RF00409	ENSOANT00000035667	Contig143108	276	413	ENSMUST00000082629	Euteleostomi	ortholog_many2many	67.8571	68.8406	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027460	RF00409	ENSOANT00000037585	Contig75169	3430	3566	ENSMUST00000082629	Euteleostomi	ortholog_many2many	63.5714	64.9635	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000024577	RF00409	ENSOANT00000034702	Contig58157	716	853	ENSMUST00000082629	Euteleostomi	ortholog_many2many	61.4286	62.3188	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027016	RF00409	ENSOANT00000037141	Ultra483	4636047	4636201	ENSMUST00000082629	Euteleostomi	ortholog_many2many	59.2857	53.5484	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027501	RF00409	ENSOANT00000037626	Contig7865	17567	17708	ENSMUST00000082629	Euteleostomi	ortholog_many2many	58.5714	57.7465	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027878	RF00409	ENSOANT00000038003	Contig294532	325	457	ENSMUST00000082629	Euteleostomi	ortholog_many2many	64.2857	67.6692	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027137	RF00409	ENSOANT00000037262	Contig9685	1156	1305	ENSMUST00000082629	Euteleostomi	ortholog_many2many	52.8571	49.3333	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000024740	RF00409	ENSOANT00000034865	Contig246570	962	1099	ENSMUST00000082629	Euteleostomi	ortholog_many2many	65.7143	66.6667	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027200	RF00409	ENSOANT00000037325	Contig75328	180	315	ENSMUST00000082629	Euteleostomi	ortholog_many2many	62.1429	63.9706	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000025808	RF00409	ENSOANT00000035933	Contig85044	674	811	ENSMUST00000082629	Euteleostomi	ortholog_many2many	65	65.942	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027516	RF00409	ENSOANT00000037641	4	54768884	54769030	ENSMUST00000082629	Euteleostomi	ortholog_many2many	46.4286	44.2177	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000026573	RF00409	ENSOANT00000036698	Contig187665	627	765	ENSMUST00000082629	Euteleostomi	ortholog_many2many	64.2857	64.7482	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000025119	RF00409	ENSOANT00000035244	Contig211554	511	648	ENSMUST00000082629	Euteleostomi	ortholog_many2many	68.5714	69.5652	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027276	RF00409	ENSOANT00000037401	Contig163171	501	643	ENSMUST00000082629	Euteleostomi	ortholog_many2many	52.1429	51.049	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000024962	RF00409	ENSOANT00000035087	Contig43370	980	1117	ENSMUST00000082629	Euteleostomi	ortholog_many2many	65.7143	66.6667	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000025086	RF00409	ENSOANT00000035211	Contig174381	293	430	ENSMUST00000082629	Euteleostomi	ortholog_many2many	62.1429	63.0435	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000027857	RF00409	ENSOANT00000037982	Contig42650	400	538	ENSMUST00000082629	Euteleostomi	ortholog_many2many	65.7143	66.187	NA	NA	NA	NA	0
ENSMUSG00000064563	ENSOANG00000024902	RF00409	ENSOANT00000035027	Contig32717	3582	3719	ENSMUST00000082629	Euteleostomi	ortholog_many2many	64.2857	65.2174	NA	NA	NA	NA	0
