ensembl_gene_id	ggallus_homolog_ensembl_gene	ggallus_homolog_associated_gene_name	ggallus_homolog_ensembl_peptide	ggallus_homolog_chromosome	ggallus_homolog_chrom_start	ggallus_homolog_chrom_end	ggallus_homolog_canonical_transcript_protein	ggallus_homolog_subtype	ggallus_homolog_orthology_type	ggallus_homolog_perc_id	ggallus_homolog_perc_id_r1	ggallus_homolog_goc_score	ggallus_homolog_wga_coverage	ggallus_homolog_dn	ggallus_homolog_ds	ggallus_homolog_orthology_confidence
ENSMUSG00000026919	ENSGALG00000043064	EXFABP	ENSGALP00000044621	17	992193	995196	ENSMUSP00000028283	Amniota	ortholog_one2many	16.7568	17.4157	0	NA	NA	NA	0
ENSMUSG00000057719	ENSGALG00000043904	SH3RF2	ENSGALP00000060601	13	17864463	17882839	ENSMUSP00000071896	Amniota	ortholog_one2one	46.6667	48.5149	100	73.99	NA	NA	1
ENSMUSG00000006299	ENSGALG00000011445	AAMP	ENSGALP00000018640	7	22692279	22696772	ENSMUSP00000136644	Amniota	ortholog_one2one	76.6055	78.9598	75	71.81	NA	NA	1
ENSMUSG00000036403	ENSGALG00000013776	CEP135	ENSGALP00000055801	4	65337549	65366967	ENSMUSP00000112602	Amniota	ortholog_one2one	58.7719	63.2075	100	51.47	NA	NA	1
ENSMUSG00000042428	ENSGALG00000036743	MGAT3	ENSGALP00000047502	1	50662884	50679863	ENSMUSP00000043077	Amniota	ortholog_one2one	77.1375	87.5527	75	87.5	NA	NA	1
ENSMUSG00000032348	ENSGALG00000016322	GSTAL3	ENSGALP00000026283	3	88712831	88719837	ENSMUSP00000034903	Amniota	ortholog_one2many	68.4685	66.3755	100	100	NA	NA	1
ENSMUSG00000032348	ENSGALG00000016324	GSTA4L	ENSGALP00000026285	3	88727100	88737893	ENSMUSP00000034903	Amniota	ortholog_one2many	67.5676	67.2646	75	43.08	NA	NA	1
ENSMUSG00000028798	ENSGALG00000003337	EIF3I	ENSGALP00000061199	23	5166291	5170582	ENSMUSP00000099653	Amniota	ortholog_one2one	93.2308	90.991	100	98.17	NA	NA	1
ENSMUSG00000049404	ENSGALG00000009594	RARRES1	ENSGALP00000015618	9	22539912	22550592	ENSMUSP00000056728	Amniota	ortholog_one2one	31.4488	32.3636	75	50	NA	NA	1
ENSMUSG00000034216	ENSGALG00000008496	VPS18	ENSGALP00000013826	5	24290783	24299635	ENSMUSP00000036915	Amniota	ortholog_one2one	73.3813	73.306	100	100	NA	NA	1
ENSMUSG00000029063	ENSGALG00000032413	NADK	ENSGALP00000060259	21	1970069	1990004	ENSMUSP00000101238	Amniota	ortholog_one2one	84.9658	83.8202	75	99.48	NA	NA	1
ENSMUSG00000031983	ENSGALG00000026600	C1orf198	ENSGALP00000042852	3	40659667	40679553	ENSMUSP00000034464	Amniota	ortholog_one2one	58.3851	44.0281	100	100	NA	NA	1
ENSMUSG00000033703	ENSGALG00000002648	FUK	ENSGALP00000004165	11	1825436	1834812	ENSMUSP00000039271	Tetrapoda	ortholog_one2one	53.7615	57.7909	75	84.48	NA	NA	1
ENSMUSG00000061983	ENSGALG00000013990	RPS12	ENSGALP00000051336	3	56961685	56965780	ENSMUSP00000151305	Amniota	ortholog_one2many	99.2424	99.2424	100	55.99	NA	NA	1
ENSMUSG00000049235	ENSGALG00000006457	RBMX	ENSGALP00000010414	4	4437445	4448239	ENSMUSP00000154633	Amniota	ortholog_one2many	89.9485	90.6494	0	97.67	NA	NA	1
ENSMUSG00000028901	ENSGALG00000038488	GMEB1	ENSGALP00000045087	23	2239736	2248043	ENSMUSP00000131331	Amniota	ortholog_one2one	86.4769	86.3233	75	100	NA	NA	1
ENSMUSG00000095793	ENSGALG00000012766		ENSGALP00000020802	1	55616634	55625686	ENSMUSP00000140500	Amniota	ortholog_one2many	28.8288	26.8908	50	NA	NA	NA	1
ENSMUSG00000029478	ENSGALG00000003120	NCOR2	ENSGALP00000004924	15	4635698	4766293	ENSMUSP00000083250	Amniota	ortholog_one2one	69.6921	70.1754	100	91.4	NA	NA	1
ENSMUSG00000045608	ENSGALG00000009604	DBX2	ENSGALP00000037987	1	30540025	30560231	ENSMUSP00000060424	Amniota	ortholog_one2one	51.1936	62.0579	100	100	NA	NA	1
ENSMUSG00000038192	ENSGALG00000005434	CER1	ENSGALP00000008711	Z	31707297	31708392	ENSMUSP00000048607	Sarcopterygii	ortholog_one2one	37.1324	37.1324	100	86.66	NA	NA	1
ENSMUSG00000076672	ENSGALG00000040159		ENSGALP00000052695	10	599661	601066	ENSMUSP00000141343	Amniota	ortholog_one2many	36.2069	23.8636	50	NA	NA	NA	0
ENSMUSG00000026311	ENSGALG00000004272	ASB1	ENSGALP00000006782	7	5973865	5983496	ENSMUSP00000084054	Amniota	ortholog_one2one	77.6786	77.6786	75	94.72	NA	NA	1
ENSMUSG00000034324	ENSGALG00000002714		ENSGALP00000004272	15	3832161	4010395	ENSMUSP00000113090	Sarcopterygii	ortholog_one2many	67.9313	68.1159	100	32.61	NA	NA	1
ENSMUSG00000034324	ENSGALG00000002671		ENSGALP00000004197	15	3525979	3717176	ENSMUSP00000113090	Sarcopterygii	ortholog_one2many	58.2656	58.7432	25	30.15	NA	NA	0
ENSMUSG00000028109	ENSGALG00000043021	HORMAD1	ENSGALP00000056953	25	2314942	2319981	ENSMUSP00000029754	Amniota	ortholog_one2one	53.5714	58.9888	50	91.9	NA	NA	1
ENSMUSG00000027398	ENSGALG00000029940	IL1B	ENSGALP00000047706	22	4616890	4618940	ENSMUSP00000028881	Amniota	ortholog_one2one	26.3941	25.1773	25	50	NA	NA	1
ENSMUSG00000001999	ENSGALG00000031786	BLVRA	ENSGALP00000044823	2	51764995	51794492	ENSMUSP00000002064	Amniota	ortholog_one2one	58.3051	58.1081	0	95.41	NA	NA	1
ENSMUSG00000032212	ENSGALG00000004192	SLTM	ENSGALP00000006652	10	6810737	6833633	ENSMUSP00000049112	Amniota	ortholog_one2one	76.0427	75.6757	100	98.38	NA	NA	1
ENSMUSG00000043542	ENSGALG00000035932	ZC2HC1A	ENSGALP00000051464	2	120797154	120818114	ENSMUSP00000054734	Amniota	ortholog_one2one	71.6049	60.8924	50	98.51	NA	NA	1
ENSMUSG00000026766	ENSGALG00000012473	MMADHC	ENSGALP00000020355	7	35110367	35123010	ENSMUSP00000099830	Amniota	ortholog_one2one	81.7568	81.7568	100	38.63	NA	NA	1
ENSMUSG00000056856	ENSGALG00000010486	JAKMIP3	ENSGALP00000017056	6	34890408	34902709	ENSMUSP00000130207	Amniota	ortholog_one2one	29.588	32.5103	100	86.74	NA	NA	1
ENSMUSG00000063297	ENSGALG00000030151	LUZP2	ENSGALP00000045477	5	1064703	1231569	ENSMUSP00000080979	Amniota	ortholog_one2one	61.7391	61.9186	0	59.21	NA	NA	1
ENSMUSG00000028969	ENSGALG00000034095	CDK5	ENSGALP00000050340	KQ759368.1	8521	11406	ENSMUSP00000030814	Amniota	ortholog_one2one	98.2877	98.2877	25	100	NA	NA	1
ENSMUSG00000091956	ENSGALG00000003644		ENSGALP00000005762	10	4364155	4365882	ENSMUSP00000131138	Amniota	ortholog_one2many	38.2353	30.1624	100	NA	NA	NA	1
ENSMUSG00000022040	ENSGALG00000016567	EPHX2	ENSGALP00000057340	3	105527044	105535951	ENSMUSP00000069209	Amniota	ortholog_one2one	49.4585	49.9089	75	50	NA	NA	1
ENSMUSG00000035547	ENSGALG00000040478	CAPN5	ENSGALP00000051548	1	193324498	193358592	ENSMUSP00000048183	Amniota	ortholog_one2one	80.625	80.4992	100	100	NA	NA	1
ENSMUSG00000021576	ENSGALG00000013400	PDCD6	ENSGALP00000021816	2	89230899	89237386	ENSMUSP00000022060	Amniota	ortholog_one2one	81.6754	87.6404	25	97.16	NA	NA	1
ENSMUSG00000045854	ENSGALG00000015762	LYRM2	ENSGALP00000025372	3	75814635	75817247	ENSMUSP00000061451	Amniota	ortholog_one2one	71.5909	71.5909	100	100	NA	NA	1
ENSMUSG00000049717	ENSGALG00000016854	LIG4	ENSGALP00000027179	1	140176223	140179854	ENSMUSP00000093130	Amniota	ortholog_one2one	72.8869	72.807	100	100	NA	NA	1
ENSMUSG00000033323	ENSGALG00000031461	CTDP1	ENSGALP00000051232	2	56552221	56652315	ENSMUSP00000038938	Amniota	ortholog_one2one	66.4583	64.1851	100	100	NA	NA	1
ENSMUSG00000062867	ENSGALG00000006910	IMPDH2	ENSGALP00000055868	12	11655848	11667410	ENSMUSP00000079888	Amniota	ortholog_one2one	94.358	90.1487	100	100	NA	NA	1
ENSMUSG00000053747	ENSGALG00000037352	SOX14	ENSGALP00000048810	9	4201229	4202185	ENSMUSP00000091310	Amniota	ortholog_one2one	95.8333	95.8333	50	100	NA	NA	1
ENSMUSG00000047990	ENSGALG00000003644		ENSGALP00000005762	10	4364155	4365882	ENSMUSP00000058286	Amniota	ortholog_one2many	38.3234	29.6984	25	NA	NA	NA	0
ENSMUSG00000018736	ENSGALG00000001163	NDEL1	ENSGALP00000001751	18	1725865	1763503	ENSMUSP00000018880	Amniota	ortholog_one2one	90.1449	90.6706	75	100	NA	NA	1
ENSMUSG00000028760	ENSGALG00000010084	EIF4G3	ENSGALP00000054432	21	6636467	6731816	ENSMUSP00000081232	Amniota	ortholog_one2one	75.602	66.9097	100	99.2	NA	NA	1
ENSMUSG00000092372	ENSGALG00000035443		ENSGALP00000054613	AADN04001168.1	29464	29817	ENSMUSP00000148154	Amniota	ortholog_one2many	1.33779	3.4188	25	NA	NA	NA	0
ENSMUSG00000025001	ENSGALG00000005451	HELLS	ENSGALP00000008735	6	16489304	16504200	ENSMUSP00000025965	Amniota	ortholog_one2one	62.4848	83.0097	0	82	NA	NA	1
ENSMUSG00000033191	ENSGALG00000009957	TIE1	ENSGALP00000016165	8	19730043	19741073	ENSMUSP00000037129	Euteleostomi	ortholog_one2one	65.6085	65.2632	100	99.5	NA	NA	1
ENSMUSG00000034330	ENSGALG00000033507	PLCG2	ENSGALP00000052324	11	15896527	15947034	ENSMUSP00000079991	Amniota	ortholog_one2one	82.0553	82.0553	100	98.81	NA	NA	1
ENSMUSG00000046312	ENSGALG00000005814		ENSGALP00000009321	Z	7654624	7656660	ENSMUSP00000059038	Amniota	ortholog_one2many	70.2514	74.1888	100	97.79	NA	NA	1
ENSMUSG00000046312	ENSGALG00000025921		ENSGALP00000041231	Z	7645602	7647698	ENSMUSP00000059038	Amniota	ortholog_one2many	69.5531	71.3467	0	50	NA	NA	1
ENSMUSG00000042460	ENSGALG00000009752	C1GALT1	ENSGALP00000015853	2	24717102	24730949	ENSMUSP00000047931	Amniota	ortholog_one2one	75.7576	75.1366	100	99.78	NA	NA	1
ENSMUSG00000026455	ENSGALG00000000518	KLHL12	ENSGALP00000057126	26	499824	513711	ENSMUSP00000027725	Amniota	ortholog_one2one	94.8944	95.3982	50	100	NA	NA	1
ENSMUSG00000059049	ENSGALG00000005426	FREM1	ENSGALP00000008702	Z	31717648	31775857	ENSMUSP00000071627	Euteleostomi	ortholog_one2one	61.4788	61.6758	75	99.67	NA	NA	1
ENSMUSG00000051154	ENSGALG00000007900	COMMD3	ENSGALP00000012810	2	17759039	17762503	ENSMUSP00000127385	Amniota	ortholog_one2one	59.4872	60.4167	100	58.76	NA	NA	1
ENSMUSG00000021215	ENSGALG00000008437	NET1	ENSGALP00000013731	1	1137276	1148688	ENSMUSP00000089464	Amniota	ortholog_one2one	70.5882	77.7778	75	53.19	NA	NA	1
ENSMUSG00000037628	ENSGALG00000012220	CDKN3	ENSGALP00000019929	5	56605358	56611639	ENSMUSP00000070575	Amniota	ortholog_one2one	66.8246	68.1159	50	42.85	NA	NA	1
ENSMUSG00000042002	ENSGALG00000005062	FOXN4	ENSGALP00000008103	15	6732758	6747406	ENSMUSP00000047951	Amniota	ortholog_one2one	64.4914	65.4971	100	100	NA	NA	1
ENSMUSG00000032959	ENSGALG00000007403	PEBP1	ENSGALP00000011961	15	9936696	9938727	ENSMUSP00000048425	Amniota	ortholog_one2one	77.5401	77.5401	75	100	NA	NA	1
ENSMUSG00000042473	ENSGALG00000009040	TBC1D8B	ENSGALP00000014700	4	17438835	17470341	ENSMUSP00000094036	Amniota	ortholog_one2one	79.5332	78.6856	50	97.87	NA	NA	1
ENSMUSG00000022240	ENSGALG00000013001	CTNND2	ENSGALP00000023368	2	77650257	78277058	ENSMUSP00000080427	Tetrapoda	ortholog_one2one	81.5409	91.7796	100	96.63	NA	NA	1
ENSMUSG00000031703	ENSGALG00000004049	ITFG1	ENSGALP00000006434	11	7701484	7916741	ENSMUSP00000034140	Amniota	ortholog_one2one	75.082	76.0797	100	99.7	NA	NA	1
ENSMUSG00000023845	ENSGALG00000015301	LNPEP	ENSGALP00000024648	Z	51602732	51651196	ENSMUSP00000036998	Amniota	ortholog_one2one	65.4634	65.5273	50	50	NA	NA	1
ENSMUSG00000050530	ENSGALG00000008764	FAM171A1	ENSGALP00000014240	2	20520407	20603030	ENSMUSP00000110751	Amniota	ortholog_one2one	77.9148	77.8275	50	100	NA	NA	1
ENSMUSG00000005628	ENSGALG00000030247	TMOD4	ENSGALP00000047692	25	2669483	2672989	ENSMUSP00000102846	Amniota	ortholog_one2one	77.3913	76.9452	100	70.75	NA	NA	1
ENSMUSG00000026384	ENSGALG00000011596		ENSGALP00000018910	7	25546960	25572518	ENSMUSP00000067614	Amniota	ortholog_one2many	54.5356	89.8577	100	100	NA	NA	1
ENSMUSG00000026384	ENSGALG00000046289		ENSGALP00000058885	7	25512345	25517690	ENSMUSP00000067614	Amniota	ortholog_one2many	9.39525	75	75	87.38	NA	NA	0
ENSMUSG00000020830	ENSGALG00000017172	VMO1	ENSGALP00000029440	1	180756254	180760243	ENSMUSP00000021179	Tetrapoda	ortholog_one2one	44.7761	49.1803	0	NA	NA	NA	0
ENSMUSG00000029201	ENSGALG00000041993	UGDH	ENSGALP00000046688	4	69682064	69700584	ENSMUSP00000031103	Amniota	ortholog_one2one	94.1176	92.986	100	100	NA	NA	1
ENSMUSG00000028351	ENSGALG00000006997	BRINP1	ENSGALP00000011314	17	4502517	4580960	ENSMUSP00000030036	Amniota	ortholog_one2one	95.5263	95.4008	75	100	NA	NA	1
ENSMUSG00000021495	ENSGALG00000040787	FAM193B	ENSGALP00000047597	13	10181701	10188111	ENSMUSP00000021957	Amniota	ortholog_one2one	57.3265	57.1795	50	100	NA	NA	1
ENSMUSG00000025907	ENSGALG00000015259	RB1CC1	ENSGALP00000024582	2	110285815	110358845	ENSMUSP00000027040	Amniota	ortholog_one2one	77.33	76.8461	100	99.65	NA	NA	1
ENSMUSG00000035683	ENSGALG00000016438	MELK	ENSGALP00000048083	Z	81980862	82003287	ENSMUSP00000043806	Amniota	ortholog_one2one	55.521	52.1168	50	98.54	NA	NA	1
ENSMUSG00000005220	ENSGALG00000014144	CORIN	ENSGALP00000022844	4	67078880	67183662	ENSMUSP00000005352	Amniota	ortholog_one2one	66.2174	75.9011	75	64.76	NA	NA	1
ENSMUSG00000051864	ENSGALG00000043058	TBC1D22A	ENSGALP00000052832	1	16200283	16355412	ENSMUSP00000065721	Amniota	ortholog_one2one	77.907	77.6062	100	100	NA	NA	1
ENSMUSG00000038055	ENSGALG00000035113	DEXI	ENSGALP00000046889	14	9108633	9115863	ENSMUSP00000139108	Amniota	ortholog_one2one	75.7895	77.4194	100	100	NA	NA	1
ENSMUSG00000027422	ENSGALG00000008676	RRBP1	ENSGALP00000015257	3	15530883	15552489	ENSMUSP00000016072	Amniota	ortholog_one2one	43.9208	64.4935	75	100	NA	NA	1
ENSMUSG00000028792	ENSGALG00000003597	AK2	ENSGALP00000005680	23	5337092	5343837	ENSMUSP00000030583	Amniota	ortholog_one2one	66.1088	85.4054	50	50.18	NA	NA	1
ENSMUSG00000023033	ENSGALG00000043728	SCN8A	ENSGALP00000055252	33	82470	121757	ENSMUSP00000080842	Amniota	ortholog_one2one	93.4783	93.4783	50	67.21	NA	NA	1
ENSMUSG00000055067	ENSGALG00000010653	SMYD3	ENSGALP00000031243	3	34311459	34422873	ENSMUSP00000117410	Amniota	ortholog_one2one	32.9439	58.9958	100	99.22	NA	NA	1
ENSMUSG00000016637	ENSGALG00000042990	IFT27	ENSGALP00000054023	1	51663627	51670724	ENSMUSP00000016781	Amniota	ortholog_one2one	70.9677	66.3317	100	99.76	NA	NA	1
ENSMUSG00000037822	ENSGALG00000014321	SMIM14	ENSGALP00000023102	4	69640264	69677019	ENSMUSP00000122363	Amniota	ortholog_one2one	76.7677	75.2475	100	100	NA	NA	1
ENSMUSG00000027552	ENSGALG00000038915	E2F5	ENSGALP00000047710	2	123234493	123247030	ENSMUSP00000029069	Amniota	ortholog_one2one	75.2239	67.2	100	89.6	NA	NA	1
ENSMUSG00000002881	ENSGALG00000037778	NAB1	ENSGALP00000052563	7	59840	77654	ENSMUSP00000066696	Amniota	ortholog_one2one	82.0988	79.9599	50	100	NA	NA	1
ENSMUSG00000048337	ENSGALG00000005923	NPY4R	ENSGALP00000009512	6	17858148	17859281	ENSMUSP00000056576	Amniota	ortholog_one2one	57.3333	57.0292	50	98.76	NA	NA	1
ENSMUSG00000003190	ENSGALG00000000497		ENSGALP00000000679	26	1522348	1523129	ENSMUSP00000003290	Amniota	ortholog_one2one	5.09804	14.4444	0	NA	NA	NA	0
ENSMUSG00000033186	ENSGALG00000016932	MZT1	ENSGALP00000027321	1	156279566	156284724	ENSMUSP00000037557	Amniota	ortholog_one2one	78.2051	84.7222	100	94.58	NA	NA	1
ENSMUSG00000031885	ENSGALG00000003169	CBFB	ENSGALP00000005013	11	2404978	2447419	ENSMUSP00000059382	Sarcopterygii	ortholog_one2one	87.1658	89.5604	50	100	NA	NA	1
ENSMUSG00000025597	ENSGALG00000006877	KLHL4	ENSGALP00000011127	4	8119362	8151110	ENSMUSP00000038080	Amniota	ortholog_one2one	78.8006	78.4722	50	60.48	NA	NA	1
ENSMUSG00000027775	ENSGALG00000009593	MFSD1	ENSGALP00000015616	9	22510000	22520540	ENSMUSP00000029344	Amniota	ortholog_one2one	77.3707	69.305	100	73.9	NA	NA	1
ENSMUSG00000028441	ENSGALG00000046225	C9orf24	ENSGALP00000059964	Z	7663787	7667823	ENSMUSP00000030152	Amniota	ortholog_one2one	43.4615	38.5666	100	90.01	NA	NA	1
ENSMUSG00000022241	ENSGALG00000003288	TARS	ENSGALP00000005194	Z	10102159	10116869	ENSMUSP00000022849	Amniota	ortholog_one2one	87.9501	80.2781	100	53.92	NA	NA	1
ENSMUSG00000030031	ENSGALG00000007569	KBTBD8	ENSGALP00000057568	12	14641980	14647729	ENSMUSP00000032107	Amniota	ortholog_one2one	87.3122	86.733	100	100	NA	NA	1
ENSMUSG00000030522	ENSGALG00000040650		ENSGALP00000050325	10	5672470	5699659	ENSMUSP00000032736	Amniota	ortholog_one2many	27.6265	85.8871	100	100	NA	NA	1
ENSMUSG00000030522	ENSGALG00000003883		ENSGALP00000006169	10	5702496	5705446	ENSMUSP00000032736	Amniota	ortholog_one2many	36.965	79.8319	75	100	NA	NA	1
ENSMUSG00000030522	ENSGALG00000042451		ENSGALP00000044639	10	5700097	5701651	ENSMUSP00000032736	Amniota	ortholog_one2many	15.0454	77.3333	75	92.12	NA	NA	0
ENSMUSG00000027942	ENSGALG00000038651		ENSGALP00000047381	AADN04021904.1	55	2236	ENSMUSP00000124028	Amniota	ortholog_one2many	46.2451	43.8202	0	NA	NA	NA	0
ENSMUSG00000027942	ENSGALG00000034258	C25H1ORF43	ENSGALP00000044451	25	2122986	2126150	ENSMUSP00000124028	Amniota	ortholog_one2many	70.3557	60.339	100	58.93	NA	NA	1
ENSMUSG00000058740	ENSGALG00000001645	KCNT1	ENSGALP00000038129	17	8697926	8724149	ENSMUSP00000039058	Amniota	ortholog_one2one	83.6834	86.2615	50	15.46	NA	NA	1
ENSMUSG00000110040	ENSGALG00000006613	CTSD	ENSGALP00000010662	5	14123783	14134951	ENSMUSP00000117247	Vertebrata	ortholog_one2many	58.2734	40.7035	75	56.29	NA	NA	1
ENSMUSG00000001036	ENSGALG00000035919	EPN2	ENSGALP00000046068	14	5208548	5245591	ENSMUSP00000136950	Sarcopterygii	ortholog_one2one	70.7812	76.3912	75	100	NA	NA	1
ENSMUSG00000008489	ENSGALG00000015799	ELAVL2	ENSGALP00000040915	Z	67421571	67466015	ENSMUSP00000102737	Amniota	ortholog_one2one	88.6598	96.0894	25	96.07	NA	NA	1
ENSMUSG00000045777	ENSGALG00000031657	IFITM10	ENSGALP00000049746	5	14141050	14147360	ENSMUSP00000101608	Amniota	ortholog_one2one	70.1493	54.2308	100	87.29	NA	NA	1
ENSMUSG00000035805	ENSGALG00000040038	MLC1	ENSGALP00000052721	1	20087981	20104863	ENSMUSP00000047667	Amniota	ortholog_one2one	71.7277	72.2955	100	100	NA	NA	1
ENSMUSG00000038650	ENSGALG00000006904	RNH1	ENSGALP00000011167	5	16163459	16171697	ENSMUSP00000147928	Amniota	ortholog_one2one	44.9187	48.4649	50	50	NA	NA	1
ENSMUSG00000029695	ENSGALG00000008953	AASS	ENSGALP00000055236	1	22867946	22895501	ENSMUSP00000031707	Amniota	ortholog_one2one	73.8661	73.7069	100	100	NA	NA	1
ENSMUSG00000061755	ENSGALG00000026470	BOD1L1	ENSGALP00000042774	4	77944595	77980409	ENSMUSP00000058618	Amniota	ortholog_one2one	39.248	39.3388	100	99.69	NA	NA	1
ENSMUSG00000027378	ENSGALG00000008195	NPHP1	ENSGALP00000013332	3	3072065	3091482	ENSMUSP00000028857	Amniota	ortholog_one2one	58.3213	59.1777	75	69.47	NA	NA	1
ENSMUSG00000055027	ENSGALG00000015935	SMYD1	ENSGALP00000060798	4	86507298	86529540	ENSMUSP00000073911	Amniota	ortholog_one2one	80.6122	80.4481	100	83.4	NA	NA	1
ENSMUSG00000041936	ENSGALG00000039193	AGRN	ENSGALP00000059759	21	2702980	2766080	ENSMUSP00000137931	Vertebrata	ortholog_one2one	62.881	61.6089	100	95.54	NA	NA	1
ENSMUSG00000008090	ENSGALG00000037525	FGFRL1	ENSGALP00000057609	4	85648812	85814057	ENSMUSP00000013633	Euteleostomi	ortholog_one2one	63.7051	69.3416	50	17.48	NA	NA	1
ENSMUSG00000004895	ENSGALG00000040696	PRCC	ENSGALP00000057753	25	1422773	1430083	ENSMUSP00000005015	Amniota	ortholog_one2one	64.9695	67.5847	100	100	NA	NA	1
ENSMUSG00000007891	ENSGALG00000006613	CTSD	ENSGALP00000010662	5	14123783	14134951	ENSMUSP00000121203	Vertebrata	ortholog_one2many	65.6098	67.5879	100	50	NA	NA	1
ENSMUSG00000019796	ENSGALG00000019987	LRP11	ENSGALP00000031163	3	48405551	48422542	ENSMUSP00000019931	Amniota	ortholog_one2one	53.4161	52.9774	50	83.79	NA	NA	1
ENSMUSG00000058672	ENSGALG00000012821	TUBB2B	ENSGALP00000042274	2	66508228	66526459	ENSMUSP00000060246	Amniota	ortholog_one2one	97.3034	97.0852	100	54.28	NA	NA	1
ENSMUSG00000012076	ENSGALG00000010093	BRMS1L	ENSGALP00000016398	5	36396570	36415543	ENSMUSP00000082500	Amniota	ortholog_one2one	94.4272	81.7694	100	100	NA	NA	1
ENSMUSG00000025227	ENSGALG00000008039	MFSD13A	ENSGALP00000013030	6	23155414	23168239	ENSMUSP00000084189	Amniota	ortholog_one2one	70.9056	72.2986	50	97.75	NA	NA	1
ENSMUSG00000066877	ENSGALG00000016799	NCK2	ENSGALP00000027070	1	135367141	135448935	ENSMUSP00000083611	Amniota	ortholog_one2one	89.4737	89.4737	100	100	NA	NA	1
ENSMUSG00000041625	ENSGALG00000022758	GGACT	ENSGALP00000035750	1	143950957	143980171	ENSMUSP00000037278	Amniota	ortholog_one2one	59.7315	53.6145	100	50	NA	NA	1
ENSMUSG00000024982	ENSGALG00000008870	ZDHHC6	ENSGALP00000014393	6	26744774	26754551	ENSMUSP00000076157	Amniota	ortholog_one2one	69.7337	81.5864	100	93.78	NA	NA	1
ENSMUSG00000027314	ENSGALG00000008514	DLL4	ENSGALP00000013851	5	24405626	24413310	ENSMUSP00000099575	Amniota	ortholog_one2one	66.6181	64.457	100	95.51	NA	NA	1
ENSMUSG00000022685	ENSGALG00000003091	PARN	ENSGALP00000004877	14	793825	828456	ENSMUSP00000055969	Amniota	ortholog_one2one	79.9679	78.5827	100	99.84	NA	NA	1
ENSMUSG00000059534	ENSGALG00000008066	UQCR10	ENSGALP00000013080	15	11093312	11094737	ENSMUSP00000054856	Amniota	ortholog_one2one	68.75	70.9677	100	83.95	NA	NA	1
ENSMUSG00000031530	ENSGALG00000011419	DUSP4	ENSGALP00000037153	4	49691811	49696013	ENSMUSP00000033930	Amniota	ortholog_one2one	78.392	83.2	25	100	NA	NA	1
ENSMUSG00000040724	ENSGALG00000000442	KCNA2	ENSGALP00000039829	26	1458526	1460788	ENSMUSP00000041702	Amniota	ortholog_one2one	97.1944	97.1944	75	61.98	NA	NA	1
ENSMUSG00000028907	ENSGALG00000001502	UTP11	ENSGALP00000002279	23	3488720	3493461	ENSMUSP00000030738	Amniota	ortholog_one2one	74.7036	74.7036	100	100	NA	NA	1
